,GSM7887562,GSM7887563,GSM7887564,GSM7887565,GSM7887566,GSM7887567
126755,4.66450606066976,4.66487318797322,4.60061464072215,6.05013435427833,6.07256326384202,6.28019479618751
102724856,2.77536622677547,3.28866427408611,3.01429780543368,3.89177819626454,3.93359983051511,4.01273859797909
10630,9.06858746382828,8.9055831028875,8.92618815790698,9.08449407114368,8.96811979040025,8.86217746428033
7799,9.91247522192668,9.8774163854019,9.8172105279602,9.72022308932007,9.79675009982439,9.8321510568949
23254,9.49404285865185,9.4286118333502,9.53397606765643,9.54987758948484,9.57930727798872,9.66282319234947
200197,8.55889784197861,8.41018304073229,8.53592084109433,8.49164145183405,8.59837933752147,8.56429458324654
55092,10.3441815574585,10.2961768170199,10.388093220932,10.2017734364681,10.3391887335528,10.4026672916841
114827,4.28643099017846,4.48818328442195,4.26340152414913,3.57012135852669,4.41956662833381,4.47240078953553
101927441,3.77266820789351,4.35709379055445,3.47428362370865,4.07222277383313,3.83392913271809,3.33415930269366
79180,12.0219635476678,12.0029484699744,12.263066088403,12.3504005723112,12.3581088142611,12.4189887819516
51032,4.35673024657002,4.66487318797322,4.33744485862967,3.98481977839882,4.02682737075642,4.40525731661867
842,11.2235451808643,11.1827816761771,11.2511395246652,11.3457520243813,11.54182267489,11.5009167579226
23341,9.17456238107057,9.2415022292503,9.06886630356952,9.43709593267859,9.1808333244338,9.30818307182533
79814,4.96379342995549,5.13395832064003,5.18580274031579,4.93852373489221,5.67188799396494,5.33517390465486
84301,10.0233416098894,10.1025769924096,9.9186869788762,10.0268447852718,9.89584667041514,9.97791118601251
6248,7.3637137639349,7.43080972955013,7.23538837554017,7.33263014633012,7.4121329702996,7.32638177260931
23207,10.6306320285514,10.5694216654409,10.8704092387655,10.7725296025569,10.8415619795923,10.9612139442335
284723,4.4878181203662,4.35709379055445,4.82310375160941,4.73929274192,4.67132132701394,4.82045583236644
54751,11.8422035141292,11.803780551218,11.9318305898882,11.8925741810581,11.9816962575694,11.9753918706562
440567,6.89365799561404,7.08220314118449,7.22567248435642,6.76530985141224,6.62821913693124,6.52122991191732
729614,7.38909517365688,7.19206098555649,7.11424239232657,7.72534516395161,7.67950905402731,7.5984759337237
