Gene ID,Mean Expr,log2FC,log2FC SE,p-value,adj. p-value,Gene Symbol
55361,682,0.213,0.0853,0.00697,0.0318,PI4K2A
84138,565,0.226,0.0911,0.00698,0.0319,SLC7A6OS
55612,246,-0.293,0.126,0.007,0.032,FERMT1
222901,23.3,-0.718,0.506,0.007,0.032,NA
91687,71.4,-0.478,0.253,0.00704,0.0321,CENPL
168850,274,-0.312,0.137,0.00704,0.0321,ZNF800
1875,174,-0.328,0.146,0.00704,0.0321,E2F5
105374584,51.8,-0.512,0.281,0.00705,0.0321,NA
107984140,28.7,0.635,0.402,0.00705,0.0321,NA
29956,2480,-0.166,0.0644,0.00705,0.0321,CERS2
266812,77.2,0.431,0.215,0.00705,0.0321,NAP1L5
10844,1610,0.182,0.0711,0.00706,0.0321,TUBGCP2
100506469,354,0.259,0.108,0.00707,0.0322,TMEM147-AS1
79168,10.9,-0.951,0.866,0.00708,0.0322,LILRA6
23780,348,-0.27,0.114,0.00708,0.0322,APOL2
6443,885,0.212,0.085,0.00709,0.0322,SGCB
80758,169,0.33,0.147,0.00709,0.0322,PRR7
23317,1370,-0.198,0.0784,0.00711,0.0323,DNAJC13
10943,418,-0.245,0.101,0.00711,0.0323,MSL3
84515,215,-0.307,0.134,0.00711,0.0323,MCM8
27090,624,0.23,0.0936,0.00712,0.0323,ST6GALNAC4
10296,1630,0.187,0.0735,0.00712,0.0323,MAEA
91754,1670,0.183,0.072,0.00713,0.0324,NEK9
114815,344,-0.258,0.108,0.00713,0.0324,SORCS1
80830,88.4,0.409,0.2,0.00716,0.0325,APOL6
100529215,81.5,-0.421,0.209,0.00717,0.0326,ZNF559-ZNF177; ZNF177
4190,22000,0.16,0.0621,0.00719,0.0326,MDH1
8372,103,0.407,0.199,0.00719,0.0326,HYAL3
255189,106,0.383,0.182,0.00719,0.0326,PLA2G4F
57674,2050,0.171,0.0669,0.00722,0.0327,RNF213
7485,379,-0.266,0.112,0.00724,0.0328,GET1
94134,459,-0.27,0.114,0.00724,0.0328,ARHGAP12
51151,18.7,-0.752,0.561,0.00726,0.0329,SLC45A2
6675,377,-0.263,0.111,0.00728,0.033,UAP1
22918,25.9,-0.679,0.465,0.00729,0.033,CD93
7412,5000,-0.17,0.0664,0.00732,0.0331,VCAM1
105375355,49,0.515,0.288,0.00732,0.0331,UPK3B
5810,438,-0.255,0.106,0.00733,0.0332,RAD1
114004397,117,-0.373,0.176,0.00733,0.0332,NA
8418,15.5,-0.796,0.627,0.00734,0.0332,CMAHP
7172,301,-0.267,0.113,0.00734,0.0332,TPMT
107984138,36.3,-0.578,0.35,0.00734,0.0332,NA
8853,534,-0.229,0.0937,0.00736,0.0333,ASAP2
56984,556,-0.237,0.0977,0.00737,0.0333,PSMG2
11072,699,0.228,0.0929,0.00737,0.0333,DUSP14
9508,95,-0.411,0.203,0.00738,0.0333,ADAMTS3
162681,35.7,-0.576,0.348,0.00739,0.0333,C18orf54
4708,1720,0.186,0.0734,0.00739,0.0334,NDUFB2
2901,169,-0.337,0.153,0.00739,0.0334,GRIK5
7097,10.1,-0.933,0.853,0.00741,NA,TLR2
92092,437,-0.248,0.103,0.00742,0.0335,ZC3HAV1L
57209,433,-0.27,0.114,0.00748,0.0337,ZNF248
4722,2590,0.184,0.0726,0.00749,0.0338,NDUFS3
105379280,50.8,-0.505,0.28,0.00749,0.0338,NA
79922,77,0.439,0.225,0.00751,0.0338,MRM1
64130,74.6,0.448,0.232,0.00752,0.0339,LIN7B
79867,127,-0.361,0.169,0.00753,0.0339,TCTN2
154313,20.8,-0.696,0.493,0.00753,0.0339,CFAP206
50488,2300,0.195,0.0778,0.00754,0.034,MINK1
122773,54.6,-0.491,0.27,0.00757,0.0341,KLHDC1
7533,1100,-0.202,0.0813,0.00757,0.0341,YWHAH
9337,648,-0.251,0.105,0.00757,0.0341,CNOT8
642484,26.8,-0.628,0.408,0.00758,0.0341,LINC01539
9360,932,-0.206,0.0832,0.00758,0.0341,PPIG
54891,381,-0.266,0.113,0.00759,0.0341,INO80D
286077,880,0.237,0.0981,0.0076,0.0342,FAM83H
64220,1720,0.193,0.0769,0.00761,0.0342,STRA6
7756,3110,-0.16,0.0624,0.00762,0.0342,ZNF207
83871,1400,-0.181,0.0716,0.00762,0.0342,RAB34
27143,214,-0.302,0.133,0.00766,0.0344,PALD1
59286,2230,0.171,0.0674,0.00766,0.0344,UBL5
347902,66.2,-0.453,0.238,0.00767,0.0344,AMIGO2
8646,179,0.322,0.145,0.00767,0.0344,CHRD
25906,279,-0.297,0.13,0.00768,0.0344,ANAPC15
22881,752,-0.205,0.0826,0.0077,0.0345,ANKRD6
80308,668,0.239,0.099,0.00771,0.0346,FLAD1
54532,885,-0.262,0.111,0.00773,0.0346,USP53
56666,202,-0.329,0.149,0.00773,0.0346,PANX2
409,218,-0.313,0.14,0.00774,0.0347,ARRB2
28973,1710,0.175,0.0689,0.00775,0.0347,MRPS18B
105371814,19.9,-0.72,0.542,0.00775,0.0347,NA
9054,421,0.251,0.105,0.00777,0.0348,NFS1
5584,436,-0.266,0.113,0.00778,0.0348,PRKCI
84288,221,0.296,0.13,0.00778,0.0348,EFCAB2
112268256,27.2,-0.642,0.433,0.00778,0.0348,NA
57116,15.4,-0.774,0.624,0.00779,0.0349,ZNF695
64689,1300,0.181,0.072,0.0078,0.0349,GORASP1
26084,91.9,-0.408,0.203,0.0078,0.0349,ARHGEF26
646643,25,-0.65,0.444,0.00784,0.035,SBK2
9878,1970,0.177,0.07,0.00784,0.035,TOX4
146057,549,-0.231,0.0956,0.00785,0.035,TTBK2
64785,130,-0.39,0.191,0.00785,0.0351,GINS3
7547,13.5,0.817,0.7,0.00785,0.0351,ZIC3
4094,550,0.233,0.0963,0.00787,0.0351,MAF
152877,70,-0.441,0.23,0.00787,0.0351,FAM53A
23047,748,-0.221,0.0908,0.00789,0.0352,PDS5B
30,1830,0.183,0.0728,0.0079,0.0352,ACAA1
590,15.5,-0.776,0.643,0.00795,0.0354,BCHE
4705,3880,0.16,0.0627,0.00796,0.0355,NDUFA10
55630,159,0.337,0.155,0.00796,0.0355,SLC39A4
6755,12.1,-0.858,0.813,0.00797,0.0355,SSTR5
115106,392,-0.266,0.114,0.00797,0.0355,HAUS1
339883,41.3,-0.545,0.326,0.00797,0.0355,APRG1
27125,1960,-0.214,0.0874,0.00798,0.0355,AFF4
2185,170,0.325,0.148,0.00799,0.0355,PTK2B
571,1000,-0.213,0.0869,0.00799,0.0356,BACH1
79763,1030,0.249,0.105,0.00799,0.0356,ISOC2
4306,240,0.286,0.125,0.008,0.0356,NR3C2
55139,1520,0.181,0.072,0.00801,0.0356,ANKZF1
10016,973,0.19,0.0763,0.00803,0.0357,PDCD6
100526831,226,0.304,0.135,0.00804,0.0357,SLX1B-SULT1A4
9120,15.9,0.774,0.649,0.00807,0.0358,SLC16A6
283571,60.2,-0.477,0.263,0.00809,0.036,PROX2
100507347,2910,0.186,0.0746,0.0081,0.036,VIM-AS1
55740,1860,-0.188,0.0755,0.0081,0.036,ENAH
105369147,178,-0.327,0.149,0.00811,0.036,BAALC-AS1
55083,3510,-0.166,0.0655,0.00811,0.036,KIF26B
9652,1920,-0.202,0.0819,0.00812,0.036,SKIC3
54537,455,-0.256,0.109,0.00812,0.036,SHLD2
57215,742,0.211,0.0863,0.00814,0.0361,THAP11
3215,9.01,0.939,1,0.00815,NA,HOXB5
84190,104,-0.388,0.191,0.00815,0.0361,METTL25
91137,652,0.249,0.105,0.00816,0.0362,SLC25A46
11000,397,-0.272,0.117,0.00817,0.0362,SLC27A3
7594,243,-0.315,0.142,0.00818,0.0362,ZNF43
284185,108,0.375,0.182,0.00818,0.0362,NA
100505687,266,0.285,0.125,0.00818,0.0362,SNHG33
80314,865,-0.219,0.0904,0.00819,0.0363,EPC1
4709,1120,-0.183,0.0734,0.0082,0.0363,NDUFB3
84182,46.4,-0.508,0.292,0.00821,0.0363,MINDY4
79443,1050,0.198,0.0804,0.00821,0.0363,FYCO1
8862,297,0.275,0.119,0.00821,0.0363,APLN
7458,6740,0.146,0.0573,0.00821,0.0363,EIF4H
9925,799,-0.198,0.0804,0.00822,0.0363,ZBTB5
9997,207,0.303,0.135,0.00823,0.0364,SCO2
81577,292,-0.265,0.114,0.00825,0.0364,GFOD2
100528016,3580,-0.173,0.0689,0.00826,0.0365,NA
100506013,48.2,-0.498,0.284,0.00828,0.0366,APELA
55611,2660,0.177,0.0711,0.00829,0.0366,OTUB1
10383,3410,-0.192,0.0776,0.0083,0.0366,TUBB4B
9670,752,0.207,0.0844,0.0083,0.0366,IPO13
389765,49.1,-0.499,0.284,0.00831,0.0367,NA
54585,143,-0.349,0.164,0.00832,0.0367,LZTFL1
26231,36.3,0.562,0.35,0.00834,0.0368,FBXL9P
140699,332,0.254,0.109,0.00835,0.0368,MROH8
1847,1560,0.183,0.0734,0.00835,0.0368,DUSP5
105374997,163,-0.343,0.161,0.00837,0.0369,NA
1491,131,-0.36,0.172,0.00837,0.0369,CTH
8564,70.4,-0.45,0.242,0.00839,0.037,KMO
2957,247,-0.291,0.129,0.00839,0.037,GTF2A1
5831,1080,-0.209,0.0855,0.0084,0.037,PYCR1
105376311,25.3,-0.634,0.442,0.0084,0.037,NA
55275,1100,0.186,0.0749,0.00842,0.0371,VPS53
92170,573,0.218,0.0902,0.00843,0.0371,MTG1
84276,838,0.205,0.0839,0.00847,0.0372,NICN1
6738,437,-0.246,0.104,0.00847,0.0372,RO60
9880,431,-0.247,0.105,0.00847,0.0372,ZBTB39
143384,838,-0.211,0.0867,0.00848,0.0372,CACUL1
389692,32.2,0.574,0.366,0.00848,0.0372,MAFA
79733,192,-0.331,0.154,0.00848,0.0373,E2F8
6635,652,-0.43,0.227,0.00848,0.0373,SNRPE
1479,528,-0.232,0.0972,0.00849,0.0373,CSTF3
3831,2200,0.164,0.0651,0.0085,0.0373,KLC1
440602,22.4,0.651,0.467,0.00852,0.0374,CYMP-AS1
29995,350,-0.261,0.112,0.00853,0.0374,LMCD1
166614,275,-0.275,0.12,0.00853,0.0374,DCLK2
100129434,90.4,0.398,0.2,0.00856,0.0375,NA
105375726,44,-0.514,0.303,0.00856,0.0375,MAL2-AS1
83744,126,-0.36,0.173,0.00859,0.0376,ZNF484
11144,12.7,-0.799,0.747,0.00859,0.0376,DMC1
9172,134,-0.345,0.163,0.00859,0.0376,MYOM2
9241,127,0.388,0.193,0.00859,0.0376,NOG
7644,858,-0.231,0.097,0.00859,0.0376,ZNF91
10565,1010,-0.209,0.086,0.0086,0.0377,ARFGEF1
79065,1490,0.194,0.079,0.00864,0.0378,ATG9A
2975,2400,0.171,0.0683,0.00866,0.0379,GTF3C1
57097,198,-0.309,0.141,0.00867,0.0379,PARP11
124930,134,0.349,0.166,0.00867,0.0379,ANKRD13B
100526825,48.2,-0.495,0.286,0.00868,0.038,NA
27134,703,-0.226,0.0945,0.00868,0.038,TJP3
27339,1300,0.213,0.0879,0.00869,0.038,PRPF19
155400,396,0.243,0.103,0.00869,0.038,NSUN5P1
80142,1400,0.216,0.0894,0.00871,0.038,PTGES2
9906,820,-0.196,0.0802,0.00873,0.0381,NA
56252,1340,-0.182,0.0735,0.00874,0.0382,YLPM1
84838,986,-0.194,0.0792,0.00875,0.0382,ZNF496
51021,1510,0.173,0.0693,0.00875,0.0382,MRPS16
23406,1350,0.181,0.0728,0.00876,0.0382,COTL1
8892,947,0.19,0.0774,0.00876,0.0382,EIF2B2
23710,1760,0.182,0.0736,0.00876,0.0382,GABARAPL1
5295,1930,-0.204,0.0841,0.00876,0.0382,PIK3R1
100874028,8.1,-0.921,1.16,0.00877,NA,SGO1-AS1
84240,253,-0.287,0.128,0.00879,0.0383,ZCCHC9
105374809,135,0.34,0.16,0.0088,0.0384,NA
5890,85.9,-0.413,0.214,0.00882,0.0384,RAD51B
51018,443,-0.231,0.0971,0.00883,0.0384,RRP15
10916,9620,0.153,0.0609,0.00885,0.0385,MAGED2
10121,3020,0.169,0.0676,0.00885,0.0385,ACTR1A
9265,584,0.221,0.092,0.00885,0.0385,CYTH3
2035,868,-0.197,0.0804,0.00885,0.0385,EPB41
100128682,99.9,0.377,0.186,0.00886,0.0385,LINC01531
493856,329,-0.26,0.112,0.00887,0.0386,CISD2
8555,984,-0.189,0.077,0.00888,0.0386,CDC14B
8999,20.7,-0.663,0.501,0.00888,0.0386,CDKL2
4513,223000,0.186,0.0695,0.00889,0.0386,MT-CO2
51341,536,0.254,0.109,0.00889,0.0386,ZBTB7A
145553,141,0.341,0.161,0.0089,0.0386,MDP1
29998,331,0.301,0.136,0.0089,0.0387,BICRA
399512,331,0.274,0.12,0.00891,0.0387,SLC25A35
6419,364,-0.26,0.112,0.00891,0.0387,SETMAR
25758,113,-0.371,0.182,0.00891,0.0387,KIAA1549L
7220,437,0.261,0.113,0.00892,0.0387,TRPC1
7466,652,0.239,0.101,0.00893,0.0387,WFS1
23539,33.3,0.563,0.361,0.00894,0.0387,SLC16A8
339745,383,-0.274,0.12,0.00894,0.0388,SPOPL
6621,258,0.306,0.139,0.00894,0.0388,SNAPC4
51585,657,-0.218,0.0909,0.00894,0.0388,PCF11
51285,91.4,0.396,0.201,0.00896,0.0388,RASL12
140465,1090,-0.221,0.0925,0.00898,0.0389,MYL6B
29883,937,-0.231,0.0975,0.00898,0.0389,CNOT7
80321,219,-0.32,0.148,0.009,0.039,CEP70
7305,7.24,-0.348,0.85,0.00906,NA,TYROBP
2966,124,-0.363,0.178,0.00907,0.0393,GTF2H2
107984006,29.8,0.581,0.387,0.00908,0.0393,NA
84942,861,0.197,0.0809,0.00908,0.0393,WDR73
84991,1370,-0.174,0.0702,0.00911,0.0394,RBM17
841,73.3,-0.429,0.229,0.00913,0.0395,CASP8
6517,1250,0.187,0.0761,0.00913,0.0395,SLC2A4
105372115,36.1,0.549,0.349,0.00914,0.0395,NA
6594,5650,-0.184,0.075,0.00914,0.0395,SMARCA1
389610,15.2,-0.729,0.644,0.00915,0.0395,XKR5
23274,693,0.226,0.0952,0.00916,0.0395,CLEC16A
105378248,17,0.701,0.578,0.00916,0.0395,NA
26001,2020,0.184,0.075,0.00916,0.0395,RNF167
353497,44.7,-0.503,0.3,0.00918,0.0396,POLN
29946,818,0.205,0.085,0.00918,0.0396,SERTAD3
19,1550,-0.173,0.0699,0.00919,0.0396,ABCA1
3459,698,-0.221,0.0926,0.0092,0.0397,IFNGR1
9774,2200,-0.204,0.0843,0.00922,0.0398,BCLAF1
116173,153,-0.328,0.155,0.00923,0.0398,CMTM5
56260,110,-0.372,0.185,0.00925,0.0398,C8orf44
54470,1110,-0.197,0.0813,0.00925,0.0398,ARMCX6
55735,1410,0.197,0.081,0.00925,0.0398,DNAJC11
26958,1230,-0.195,0.0803,0.00925,0.0399,COPG2
9590,484,0.225,0.0949,0.00926,0.0399,AKAP12
9917,945,-0.195,0.0801,0.00927,0.0399,FAM20B
80207,995,0.194,0.0798,0.00928,0.0399,OPA3
775,2300,0.169,0.0683,0.00929,0.0399,CACNA1C
91543,7.11,-0.392,1.23,0.00929,NA,RSAD2
3768,159,0.356,0.173,0.00933,0.0401,KCNJ12
1436,76.6,0.415,0.219,0.00934,0.0401,CSF1R
84875,83.7,0.406,0.211,0.00935,0.0402,PARP10
55728,359,-0.275,0.122,0.00935,0.0402,N4BP2
51171,283,-0.28,0.125,0.00936,0.0402,HSD17B14
55020,415,-0.241,0.104,0.00937,0.0402,TTC38
54842,254,0.275,0.122,0.00937,0.0402,MFSD6
100310756,23,-0.627,0.462,0.00937,0.0402,NA
5707,2800,0.177,0.0717,0.00939,0.0403,PSMD1
8045,600,0.24,0.103,0.00939,0.0403,RASSF7
23516,1670,-0.17,0.069,0.00939,0.0403,SLC39A14
6117,2080,-0.175,0.0711,0.00941,0.0403,RPA1
9181,1020,-0.2,0.0828,0.00941,0.0404,ARHGEF2
23420,2260,0.17,0.069,0.00943,0.0404,NOMO1
9960,466,-0.235,0.1,0.00945,0.0405,USP3
51761,21.8,0.637,0.479,0.00945,0.0405,ATP8A2
116844,24.7,-0.612,0.442,0.00945,0.0405,LRG1
148046,49.8,0.513,0.315,0.00948,0.0406,CIRBP-AS1
10610,181,0.313,0.145,0.00948,0.0406,ST6GALNAC2
6195,387,0.242,0.104,0.00948,0.0406,RPS6KA1
85458,429,0.252,0.109,0.00949,0.0406,DIXDC1
256329,392,0.259,0.113,0.0095,0.0407,LMNTD2
10585,920,-0.201,0.0836,0.00951,0.0407,POMT1
84989,24.6,0.612,0.44,0.00951,0.0407,JMJD1C-AS1
9786,237,-0.29,0.131,0.00951,0.0407,KIAA0586
107985336,33,-0.552,0.361,0.00956,0.0409,NA
7057,14600,0.137,0.0545,0.00959,0.041,THBS1
6051,625,0.223,0.0941,0.0096,0.041,RNPEP
63925,693,0.239,0.103,0.00962,0.0411,ZNF335
259217,306,-0.263,0.116,0.00963,0.0411,HSPA12A
117145,456,-0.235,0.101,0.00963,0.0411,THEM4
2743,37.4,-0.521,0.326,0.00964,0.0412,GLRB
23514,649,-0.208,0.087,0.00965,0.0412,SPIDR
55362,1530,0.192,0.0792,0.00966,0.0412,TMEM63B
1460,2780,0.165,0.0667,0.00967,0.0412,CSNK2B
101929302,36.2,-0.553,0.365,0.00968,0.0413,NA
11222,1140,-0.21,0.0882,0.00971,0.0414,MRPL3
9728,1050,-0.206,0.0863,0.00974,0.0415,SECISBP2L
9235,260,0.273,0.122,0.00976,0.0416,IL32
92591,134,0.337,0.162,0.00976,0.0416,ASB16
342357,422,-0.245,0.106,0.00977,0.0416,ZKSCAN2
642280,30.1,-0.578,0.402,0.00981,0.0418,ZNF876P
9488,106,-0.374,0.189,0.00983,0.0419,PIGB
79594,1110,0.208,0.087,0.00984,0.0419,MUL1
105375213,177,-0.308,0.143,0.00985,0.0419,NA
2906,62.3,0.444,0.248,0.00985,0.0419,GRIN2D
3069,12900,-0.148,0.0596,0.00988,0.042,HDLBP
10284,3260,-0.164,0.0665,0.00989,0.042,SAP18
9446,1370,0.181,0.0743,0.00989,0.0421,GSTO1
5159,183,0.308,0.143,0.0099,0.0421,PDGFRB
55016,128,-0.353,0.174,0.0099,0.0421,MARCHF1
253738,122,-0.345,0.168,0.00991,0.0421,EBF3
126567,70.6,-0.45,0.254,0.00992,0.0421,C2CD4C
10791,301,0.275,0.123,0.00994,0.0422,VAMP5
79094,229,-0.309,0.144,0.00995,0.0422,CHAC1
3294,34,0.557,0.375,0.00995,0.0423,HSD17B2
51550,552,0.217,0.0921,0.00996,0.0423,CINP
107986463,10.6,-0.771,1.09,0.00997,0.0423,NA
84881,558,-0.221,0.094,0.00997,0.0423,RPUSD4
463,1060,-0.2,0.0836,0.00997,0.0423,ZFHX3
51094,2530,0.17,0.0692,0.00998,0.0423,ADIPOR1
440145,69.7,-0.45,0.256,0.00999,0.0424,MZT1
64072,93.1,0.384,0.197,0.01,0.0424,CDH23
388015,40.3,-0.509,0.317,0.01,0.0425,RTL1
100507463,17.3,0.672,0.574,0.01,0.0425,PSMB8-AS1
79692,430,-0.243,0.106,0.01,0.0425,ZNF322
2222,3110,-0.163,0.0663,0.0101,0.0426,FDFT1
22801,35.8,0.532,0.344,0.0101,0.0427,ITGA11
57212,900,0.215,0.0912,0.0101,0.0427,GFOD3P
5158,334,0.257,0.113,0.0101,0.0427,PDE6B
55588,1130,0.189,0.0783,0.0101,0.0428,MED29
25837,81.4,-0.422,0.23,0.0101,0.0428,RAB26
64172,161,-0.314,0.148,0.0101,0.0428,OSGEPL1
10675,41.2,-0.518,0.33,0.0101,0.0428,CSPG5
8867,188,0.314,0.148,0.0101,0.0428,SYNJ1
58494,68.3,-0.433,0.24,0.0101,0.0429,JAM2
8351,19.7,0.64,0.511,0.0101,0.0429,H3C4
57403,532,-0.232,0.0999,0.0101,0.0429,RAB22A
49856,246,0.283,0.129,0.0102,0.0429,WRAP73
6654,928,-0.224,0.096,0.0102,0.0429,SOS1
340706,158,-0.321,0.153,0.0102,0.0429,VWA2
10948,870,0.202,0.0849,0.0102,0.0429,STARD3
51380,425,0.234,0.101,0.0102,0.0429,CSAD
57510,1280,0.196,0.082,0.0102,0.043,XPO5
10224,114,-0.353,0.175,0.0102,0.043,ZNF443
83463,580,-0.212,0.0897,0.0102,0.043,MXD3
546,1310,-0.197,0.0826,0.0102,0.0431,ATRX
83478,144,-0.33,0.159,0.0102,0.0431,ARHGAP24
85012,276,0.303,0.141,0.0102,0.0432,TCEAL3
84219,362,0.274,0.124,0.0102,0.0432,WDR24
9986,240,0.282,0.128,0.0103,0.0432,RCE1
404093,849,0.215,0.0911,0.0103,0.0432,CUEDC1
317648,274,0.266,0.119,0.0103,0.0432,NA
83931,1330,0.192,0.0798,0.0103,0.0432,STK40
5066,8740,0.159,0.0647,0.0103,0.0433,PAM
163786,70,-0.439,0.247,0.0103,0.0433,SASS6
9656,639,-0.209,0.0886,0.0103,0.0433,MDC1
51207,14.5,0.715,0.777,0.0103,0.0434,DUSP13B
60491,525,-0.231,0.0996,0.0103,0.0434,NIF3L1
100131096,167,0.316,0.15,0.0103,0.0434,NA
25851,430,0.232,0.1,0.0103,0.0434,TECPR1
107987097,36.3,-0.522,0.336,0.0103,0.0434,NA
79176,296,0.275,0.124,0.0104,0.0436,FBXL15
27030,527,-0.226,0.0974,0.0104,0.0436,MLH3
203286,446,0.229,0.0987,0.0104,0.0436,ANKS6
9987,4060,-0.169,0.0694,0.0104,0.0438,HNRNPDL
28976,839,0.197,0.0827,0.0104,0.0438,ACAD9
65996,410,0.233,0.101,0.0104,0.0438,MZF1-AS1
105372891,22.8,-0.603,0.46,0.0105,0.044,NA
3836,1450,0.209,0.0888,0.0105,0.044,KPNA1
79755,180,-0.305,0.143,0.0105,0.044,ZNF750
107984120,96.3,-0.397,0.211,0.0105,0.044,NA
10307,398,0.247,0.109,0.0105,0.044,APBB3
677,4020,0.15,0.0609,0.0105,0.0441,ZFP36L1
10426,489,-0.241,0.106,0.0105,0.0441,TUBGCP3
115426,704,-0.207,0.0879,0.0105,0.0441,UHRF2
26985,1040,-0.216,0.0925,0.0106,0.0442,AP3M1
1845,3340,0.161,0.0661,0.0106,0.0442,DUSP3
285605,144,-0.327,0.158,0.0106,0.0442,DTWD2
148398,237,0.275,0.124,0.0106,0.0442,SAMD11
105377212,10.8,-0.734,0.96,0.0106,0.0442,NA
2706,49.9,0.466,0.275,0.0106,0.0442,GJB2
2849,85.5,-0.4,0.214,0.0106,0.0442,GPR26
124512,443,0.245,0.108,0.0106,0.0442,METTL23
81839,425,-0.231,0.1,0.0106,0.0442,VANGL1
163702,338,-0.247,0.109,0.0106,0.0443,IFNLR1
2309,1370,-0.189,0.079,0.0106,0.0443,FOXO3
29887,22.6,-0.613,0.483,0.0106,0.0443,SNX10
23566,539,-0.215,0.0918,0.0106,0.0443,LPAR3
3090,234,0.278,0.127,0.0106,0.0443,HIC1
222950,62.7,-0.434,0.245,0.0106,0.0443,NYAP1
5905,1470,-0.211,0.0898,0.0106,0.0444,RANGAP1
374969,367,-0.243,0.107,0.0106,0.0444,SVBP
6768,2020,-0.19,0.0795,0.0106,0.0444,ST14
148327,224,-0.282,0.129,0.0107,0.0444,CREB3L4
2702,144,-0.332,0.162,0.0107,0.0444,GJA5
1992,788,0.204,0.0862,0.0107,0.0445,SERPINB1
81575,39.6,-0.51,0.327,0.0107,0.0445,APOLD1
1959,964,0.183,0.0762,0.0107,0.0446,EGR2
729085,27.8,-0.572,0.415,0.0107,0.0446,GASK1A
58505,1450,-0.244,0.108,0.0107,0.0446,OSTC
55775,257,-0.267,0.121,0.0107,0.0446,TDP1
11188,2890,0.189,0.0789,0.0107,0.0446,NISCH
5911,381,-0.263,0.118,0.0107,0.0446,RAP2A
51246,1740,0.192,0.0807,0.0107,0.0446,SHISA5
5303,410,-0.238,0.104,0.0107,0.0446,PIN4
9256,660,-0.23,0.0998,0.0107,0.0446,TSPOAP1
222223,1370,-0.18,0.0747,0.0108,0.0447,ELAPOR2
114897,573,-0.214,0.0915,0.0108,0.0447,C1QTNF1
6549,45.5,-0.48,0.294,0.0108,0.0447,SLC9A2
4311,481,-0.25,0.111,0.0108,0.0448,MME
85026,230,0.277,0.127,0.0108,0.0448,ARRDC1-AS1
7444,403,-0.271,0.123,0.0108,0.0448,VRK2
8986,552,0.263,0.118,0.0108,0.0449,RPS6KA4
1508,7250,0.144,0.0587,0.0108,0.0449,CTSB
220108,219,-0.289,0.134,0.0108,0.0449,FAM124A
80213,596,0.214,0.0916,0.0108,0.0449,TM2D3
8312,788,-0.225,0.0974,0.0108,0.0449,AXIN1
1337,8610,0.173,0.0714,0.0108,0.045,COX6A1
144100,1460,0.168,0.0694,0.0109,0.0451,PLEKHA7
6202,22000,0.136,0.0552,0.0109,0.0451,RPS8
286122,53,0.477,0.291,0.0109,0.0451,LY6S-AS1
79077,468,-0.224,0.0969,0.0109,0.0451,DCTPP1
9170,228,-0.287,0.133,0.0109,0.0451,LPAR2
10901,554,0.214,0.0917,0.0109,0.0451,DHRS4
9513,1440,0.187,0.0786,0.0109,0.0453,FXR2
10658,2380,0.154,0.063,0.0109,0.0453,CELF1
140701,76.9,0.432,0.245,0.011,0.0453,ABHD16B
112268184,658,-0.204,0.0869,0.011,0.0455,NA
84142,338,-0.271,0.123,0.011,0.0455,ABRAXAS1
84966,7.93,-0.418,1.29,0.011,NA,IGSF21
101927372,170,0.31,0.148,0.011,0.0456,NA
29952,3740,0.189,0.0794,0.0111,0.0457,DPP7
10552,2480,0.16,0.0661,0.0111,0.0458,ARPC1A
5121,12.9,-0.69,0.787,0.0111,0.0458,PCP4
7301,781,-0.204,0.087,0.0111,0.0459,TYRO3
728833,12.4,-0.691,0.802,0.0111,0.0459,FAM72C; FAM72D
4905,713,0.219,0.0945,0.0112,0.046,NSF
9453,698,-0.211,0.0907,0.0112,0.046,GGPS1
10620,710,0.2,0.0851,0.0112,0.046,ARID3B
57089,302,-0.257,0.115,0.0112,0.0461,ENTPD7
137075,158,0.31,0.148,0.0112,0.0463,CLDN23
54867,1350,0.179,0.075,0.0112,0.0463,TMEM214
2010,848,0.198,0.084,0.0112,0.0463,EMD
84678,639,-0.205,0.0876,0.0112,0.0463,KDM2B
26277,725,0.206,0.0879,0.0113,0.0464,TINF2
55258,642,0.204,0.0872,0.0113,0.0464,THNSL2
84447,666,0.209,0.0896,0.0113,0.0464,SYVN1
728978,122,0.348,0.175,0.0113,0.0464,NA
100132994,22.7,-0.587,0.458,0.0113,0.0465,CXorf49B
7544,268,-0.281,0.13,0.0113,0.0465,ZFY
2819,62.5,0.433,0.249,0.0113,0.0465,GPD1
55623,772,-0.205,0.0879,0.0113,0.0466,THUMPD1
72,58,-0.447,0.264,0.0114,0.0467,ACTG2
107133515,357,-0.249,0.111,0.0114,0.0467,NA
140628,243,0.293,0.138,0.0114,0.0467,GATA5
200894,72.3,-0.41,0.227,0.0114,0.0468,ARL13B
54704,600,0.208,0.0895,0.0114,0.0468,PDP1
65056,1490,-0.195,0.0826,0.0114,0.0468,GPBP1
58496,104,0.356,0.182,0.0114,0.0469,LY6G5B
138199,170,-0.32,0.156,0.0114,0.0469,CARNMT1
83733,240,0.277,0.128,0.0114,0.047,SLC25A18
199704,341,0.246,0.11,0.0115,0.047,ZNF585A
441518,683,0.198,0.0843,0.0115,0.0471,RTL8B
1849,365,0.262,0.119,0.0115,0.0471,DUSP7
168374,99.4,-0.402,0.221,0.0115,0.0471,ZNF92
101929639,66.4,0.423,0.24,0.0115,0.0471,B4GALT1-AS1
389690,7.83,0.354,0.813,0.0115,NA,MROH5
286204,124,-0.341,0.171,0.0115,0.0472,CRB2
645644,203,0.288,0.134,0.0115,0.0472,NA
