"n_universe","de_fraction","n_de","n_pathway","signal_frac","n_signal","replicate","stability"
5000,0.2,1000,50,0.3,15,20,0.235
5000,0.2,1000,50,0.4,20,1,0.985
5000,0.2,1000,50,0.4,20,2,1
5000,0.2,1000,50,0.4,20,3,0.985
5000,0.2,1000,50,0.4,20,4,1
5000,0.2,1000,50,0.4,20,5,1
5000,0.2,1000,50,0.4,20,6,1
5000,0.2,1000,50,0.4,20,7,0.995
5000,0.2,1000,50,0.4,20,8,1
5000,0.2,1000,50,0.4,20,9,0.995
5000,0.2,1000,50,0.4,20,10,0.995
5000,0.2,1000,50,0.4,20,11,0.995
5000,0.2,1000,50,0.4,20,12,1
5000,0.2,1000,50,0.4,20,13,1
5000,0.2,1000,50,0.4,20,14,0.995
5000,0.2,1000,50,0.4,20,15,1
5000,0.2,1000,50,0.4,20,16,1
5000,0.2,1000,50,0.4,20,17,0.995
5000,0.2,1000,50,0.4,20,18,1
5000,0.2,1000,50,0.4,20,19,0.995
5000,0.2,1000,50,0.4,20,20,1
5000,0.25,1250,50,0.1,5,1,0
5000,0.25,1250,50,0.1,5,2,0
5000,0.25,1250,50,0.1,5,3,0
5000,0.25,1250,50,0.1,5,4,0
5000,0.25,1250,50,0.1,5,5,0
5000,0.25,1250,50,0.1,5,6,0
5000,0.25,1250,50,0.1,5,7,0
5000,0.25,1250,50,0.1,5,8,0
5000,0.25,1250,50,0.1,5,9,0
5000,0.25,1250,50,0.1,5,10,0
5000,0.25,1250,50,0.1,5,11,0
5000,0.25,1250,50,0.1,5,12,0
5000,0.25,1250,50,0.1,5,13,0
5000,0.25,1250,50,0.1,5,14,0
5000,0.25,1250,50,0.1,5,15,0
5000,0.25,1250,50,0.1,5,16,0
5000,0.25,1250,50,0.1,5,17,0
5000,0.25,1250,50,0.1,5,18,0
5000,0.25,1250,50,0.1,5,19,0
5000,0.25,1250,50,0.1,5,20,0
5000,0.25,1250,50,0.2,10,1,0
5000,0.25,1250,50,0.2,10,2,0
5000,0.25,1250,50,0.2,10,3,0
5000,0.25,1250,50,0.2,10,4,0
5000,0.25,1250,50,0.2,10,5,0
5000,0.25,1250,50,0.2,10,6,0
5000,0.25,1250,50,0.2,10,7,0
5000,0.25,1250,50,0.2,10,8,0
5000,0.25,1250,50,0.2,10,9,0
5000,0.25,1250,50,0.2,10,10,0
5000,0.25,1250,50,0.2,10,11,0
5000,0.25,1250,50,0.2,10,12,0
5000,0.25,1250,50,0.2,10,13,0
5000,0.25,1250,50,0.2,10,14,0
5000,0.25,1250,50,0.2,10,15,0
5000,0.25,1250,50,0.2,10,16,0
5000,0.25,1250,50,0.2,10,17,0
5000,0.25,1250,50,0.2,10,18,0
5000,0.25,1250,50,0.2,10,19,0
5000,0.25,1250,50,0.2,10,20,0
5000,0.25,1250,50,0.3,15,1,0.005
5000,0.25,1250,50,0.3,15,2,0.005
5000,0.25,1250,50,0.3,15,3,0
5000,0.25,1250,50,0.3,15,4,0
5000,0.25,1250,50,0.3,15,5,0
5000,0.25,1250,50,0.3,15,6,0
5000,0.25,1250,50,0.3,15,7,0
5000,0.25,1250,50,0.3,15,8,0
5000,0.25,1250,50,0.3,15,9,0
5000,0.25,1250,50,0.3,15,10,0.005
5000,0.25,1250,50,0.3,15,11,0.01
5000,0.25,1250,50,0.3,15,12,0.005
5000,0.25,1250,50,0.3,15,13,0
5000,0.25,1250,50,0.3,15,14,0
5000,0.25,1250,50,0.3,15,15,0
5000,0.25,1250,50,0.3,15,16,0
5000,0.25,1250,50,0.3,15,17,0
5000,0.25,1250,50,0.3,15,18,0
5000,0.25,1250,50,0.3,15,19,0
5000,0.25,1250,50,0.3,15,20,0
5000,0.25,1250,50,0.4,20,1,0.865
5000,0.25,1250,50,0.4,20,2,0.825
5000,0.25,1250,50,0.4,20,3,0.84
5000,0.25,1250,50,0.4,20,4,0.855
5000,0.25,1250,50,0.4,20,5,0.805
5000,0.25,1250,50,0.4,20,6,0.87
5000,0.25,1250,50,0.4,20,7,0.795
5000,0.25,1250,50,0.4,20,8,0.83
5000,0.25,1250,50,0.4,20,9,0.85
5000,0.25,1250,50,0.4,20,10,0.84
5000,0.25,1250,50,0.4,20,11,0.825
5000,0.25,1250,50,0.4,20,12,0.855
5000,0.25,1250,50,0.4,20,13,0.84
5000,0.25,1250,50,0.4,20,14,0.82
5000,0.25,1250,50,0.4,20,15,0.875
5000,0.25,1250,50,0.4,20,16,0.825
5000,0.25,1250,50,0.4,20,17,0.79
5000,0.25,1250,50,0.4,20,18,0.845
5000,0.25,1250,50,0.4,20,19,0.765
5000,0.25,1250,50,0.4,20,20,0.815
