ID,Description,NGenes,Direction,PValue,FDR
WP4148,Splicing factor NOVA regulated synaptic proteins,35,Up,0.04018988128099449,0.23149371617852824
WP5432,Omega 3 fatty acids in senescence,26,Up,0.043493138035096746,0.24853221734340997
WP4673,Male infertility,108,Up,0.044778926352461966,0.2530249507865547
WP2516,ATM signaling,37,Down,0.04505520521502802,0.2530249507865547
WP2643,Nanoparticle mediated activation of receptor signaling,28,Down,0.04533363701592438,0.2530249507865547
WP4747,Netrin UNC5B signaling,50,Down,0.04616894117138302,0.25406610508380256
WP5103,Progeria associated lipodystrophy,19,Down,0.046225916341636294,0.25406610508380256
WP236,Adipogenesis,120,Up,0.04738128328367278,0.2568960175212441
WP286,IL3 signaling,48,Down,0.04745440323656315,0.2568960175212441
WP4331,Neovascularization processes,37,Down,0.048123936685182424,0.2580853389805046
WP3678,Amplification and expansion of oncogenic pathways as metastatic traits,17,Down,0.04839100105884462,0.2580853389805046
WP5528,JAK STAT signaling and ARTD family members,14,Down,0.049545662857608086,0.2619544764343329
WP530,Cytokines and inflammatory response,18,Down,0.04984411565486612,0.2619544764343329
WP3391,Senescence associated secretory phenotype SASP,72,Down,0.05049720155963931,0.26346366031116164
WP3996,Ethanol effects on histone modifications,30,Up,0.051070208468533,0.26452868735293983
WP524,G13 signaling,35,Down,0.051436133651960515,0.26452868735293983
WP5109,Familial hyperlipidemia type 2,13,Up,0.05183988126489235,0.2647142873100886
WP3969,H19 Rb E2F1 and CDK beta catenin in colorectal cancer,14,Down,0.05221471724647043,0.2647506789961881
WP2291,Deregulation of Rab and Rab effector genes in bladder cancer,14,Up,0.05494237477242472,0.2751630395113756
WP4217,Ebola virus infection in host,121,Down,0.055558041987805985,0.2751630395113756
WP3303,RAC1 PAK1 p38 MMP2 pathway,67,Down,0.055755789359904905,0.2751630395113756
WP5102,Familial partial lipodystrophy,29,Up,0.055796949678695605,0.2751630395113756
WP5055,Burn wound healing,65,Down,0.05653687689088244,0.2766481132125337
WP4357,NRF2 ARE regulation,22,Down,0.056866556604798585,0.2766481132125337
WP1433,Nucleotide binding oligomerization domain NOD pathway,37,Down,0.0579446528477877,0.28000100704971237
WP5287,17q12 copy number variation syndrome,78,Up,0.058611215234562274,0.2813338331258989
WP5220,Metabolic reprogramming in pancreatic cancer,41,Down,0.06040674282933809,0.2865807863765611
WP47,Hedgehog signaling,14,Up,0.06050038823505179,0.2865807863765611
WP5272,LDL influence on CD14 and TLR4,22,Down,0.06167903406568568,0.2896710177277768
WP4018,Clear cell renal cell carcinoma pathways,81,Down,0.061957412125107816,0.2896710177277768
WP4495,IL10 anti inflammatory signaling,12,Down,0.06253641302853984,0.29049172503579795
WP5347,IL26 signaling,43,Down,0.06349080203856589,0.2911465929040566
WP3527,Pre implantation embryo,38,Up,0.06384424945780769,0.2911465929040566
WP4298,Acute viral myocarditis,79,Down,0.06403089113376766,0.2911465929040566
WP5121,Sphingolipid metabolism in senescence,27,Down,0.06444987343031941,0.2911465929040566
WP5366,NF1 copy number variation syndrome,78,Down,0.06469924286756813,0.2911465929040566
WP5398,NRXN1 deletion syndrome,13,Up,0.06661217137941151,0.29789294033028746
WP3893,Development and heterogeneity of the ILC family,23,Up,0.06718724449905808,0.29829414869335474
