ID,Description,p.adjust,k,stability,selected,collection,consensus,keep_final,tier
GO:0007599,hemostasis,0.00502154138589469,23,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0002064,epithelial cell development,0.00551432580281352,22,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0050673,epithelial cell proliferation,0.00555093842922025,36,0,FALSE,GO,FALSE,FALSE,Not kept
GO:1901992,positive regulation of mitotic cell cycle phase transition,0.0068862136082094,13,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0060420,regulation of heart growth,0.00730066258944,11,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0045104,intermediate filament cytoskeleton organization,0.00766856709853549,8,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0033260,nuclear DNA replication,0.0093251145838019,8,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0002027,regulation of heart rate,0.01029046015293678,13,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0072577,endothelial cell apoptotic process,0.01065070728091498,10,0,FALSE,GO,FALSE,FALSE,Not kept
GO:2000147,positive regulation of cell motility,0.01155219847783865,42,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0046622,positive regulation of organ growth,0.01439809247988228,9,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0001709,cell fate determination,0.0165792895349236,7,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0097746,blood vessel diameter maintenance,0.01661464981436957,16,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0006935,chemotaxis,0.01696470000965827,31,0,FALSE,GO,TRUE,FALSE,Not kept
GO:1900024,regulation of substrate adhesion-dependent cell spreading,0.01942846577074012,9,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0007600,sensory perception,0.01951086763146161,28,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0030195,negative regulation of blood coagulation,0.02145965304012413,8,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0061041,regulation of wound healing,0.0217435177882032,14,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0032526,response to retinoic acid,0.0229076990698714,13,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0061371,determination of heart left/right asymmetry,0.02333290888315405,10,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0043583,ear development,0.02738000787045355,19,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0010817,regulation of hormone levels,0.02752351431583559,35,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0086004,regulation of cardiac muscle cell contraction,0.02812558806821109,7,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0003197,endocardial cushion development,0.02840330028986975,9,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0048562,embryonic organ morphogenesis,0.02887843425485237,23,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0050766,positive regulation of phagocytosis,0.02908978710939225,8,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0050819,negative regulation of coagulation,0.02908978710939225,8,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0071385,cellular response to glucocorticoid stimulus,0.03217447897215891,9,0,FALSE,GO,FALSE,FALSE,Not kept
GO:0001763,morphogenesis of a branching structure,0.03492606927437294,20,0,FALSE,GO,FALSE,FALSE,Not kept
