ID,Description,GeneRatio,BgRatio,p-value,adj. p-value
WP3617,Photodynamic therapy induced NF kB survival sig...,6/1363,22/6992,0.247,0.605
WP4313,Ferroptosis,14/1363,59/6992,0.249,0.605
WP4906,3q29 copy number variation syndrome,14/1363,59/6992,0.249,0.605
WP4829,mBDNF and proBDNF regulation of GABA neurotrans...,9/1363,36/6992,0.258,0.62
WP4549,Fragile X syndrome,26/1363,117/6992,0.259,0.62
WP2112,IL17 signaling,7/1363,27/6992,0.263,0.62
WP2643,Nanoparticle mediated activation of receptor si...,7/1363,27/6992,0.263,0.62
WP1602,Nicotine effect on dopaminergic neurons,5/1363,18/6992,0.265,0.62
WP205,IL7 signaling,5/1363,18/6992,0.265,0.62
WP384,Apoptosis modulation by HSP70,5/1363,18/6992,0.265,0.62
WP3927,BMP signaling in eyelid development,5/1363,18/6992,0.265,0.62
WP4784,Proteoglycan biosynthesis,5/1363,18/6992,0.265,0.62
WP5407,15q11q13 copy number variation,13/1363,55/6992,0.265,0.62
WP51,Regulation of actin cytoskeleton,29/1363,132/6992,0.265,0.62
WP4844,Influence of laminopathies on Wnt signaling,8/1363,32/6992,0.276,0.641
WP1539,Angiogenesis,6/1363,23/6992,0.283,0.641
WP4925,Unfolded protein response,6/1363,23/6992,0.283,0.641
WP5503,Albuterol and budesonide therapy for asthma,6/1363,23/6992,0.283,0.641
WP254,Apoptosis,17/1363,75/6992,0.284,0.641
WP3969,H19 Rb E2F1 and CDK beta catenin in colorectal ...,4/1363,14/6992,0.284,0.641
WP4589,Major receptors targeted by epinephrine and nor...,4/1363,14/6992,0.284,0.641
WP47,Hedgehog signaling,4/1363,14/6992,0.284,0.641
WP4723,Omega 3 omega 6 fatty acid synthesis,4/1363,14/6992,0.284,0.641
WP4962,Airway smooth muscle cell contraction,4/1363,14/6992,0.284,0.641
WP5528,JAK STAT signaling and ARTD family members,4/1363,14/6992,0.284,0.641
WP24,Peptide GPCRs,9/1363,37/6992,0.286,0.643
WP2197,Endothelin pathways,7/1363,28/6992,0.297,0.662
WP5323,Fatty acid and lipoprotein transport in hepatoc...,7/1363,28/6992,0.297,0.662
WP179,Cell cycle,23/1363,105/6992,0.301,0.666
WP1544,MicroRNAs in cardiomyocyte hypertrophy,17/1363,76/6992,0.304,0.666
WP5331,Autophagy in pancreatic ductal adenocarcinoma,5/1363,19/6992,0.306,0.666
WP1434,Osteopontin signaling,3/1363,10/6992,0.307,0.666
WP2007,Iron metabolism in placenta,3/1363,10/6992,0.307,0.666
WP3301,MFAP5 mediated ovarian cancer cell motility and...,3/1363,10/6992,0.307,0.666
WP5050,TCA cycle in senescence,3/1363,10/6992,0.307,0.666
WP5342,Pathophysiological roles of DUX4 in FSHD1,3/1363,10/6992,0.307,0.666
WP2406,Cardiac progenitor differentiation,8/1363,33/6992,0.307,0.666
WP707,DNA damage response,14/1363,62/6992,0.315,0.682
WP3879,4 hydroxytamoxifen dexamethasone and retinoic a...,6/1363,24/6992,0.321,0.691
WP4159,GABA receptor signaling,7/1363,29/6992,0.331,0.706
WP5352,10q11 21q11 23 copy number variation syndrome,12/1363,53/6992,0.332,0.706
WP1545,miRNAs involved in DNA damage response,4/1363,15/6992,0.333,0.706
WP4560,MFAP5 effect on permeability and motility of en...,4/1363,15/6992,0.333,0.706
WP4942,15q13 3 copy number variation syndrome,4/1363,15/6992,0.333,0.706
WP5078,T cell modulation and desmoplasia in pancreatic...,8/1363,34/6992,0.339,0.717
WP1981,Thyroxine thyroid hormone production,5/1363,20/6992,0.348,0.734
WP702,Metapathway biotransformation Phase I and II,23/1363,108/6992,0.354,0.741
WP4539,Synaptic signaling associated with autism spect...,11/1363,49/6992,0.354,0.741
WP5221,2q11 2 copy number variation syndrome,6/1363,25/6992,0.358,0.741
WP5523,HINT1 pathway,6/1363,25/6992,0.358,0.741
WP2525,Trans sulfuration one carbon metabolism and rel...,13/1363,59/6992,0.36,0.741
WP3630,NAD metabolism sirtuins and aging,3/1363,11/6992,0.366,0.741
WP4337,ncRNAs involved in STAT3 signaling in hepatocel...,3/1363,11/6992,0.366,0.741
WP4493,Cells and molecules involved in local acute inf...,3/1363,11/6992,0.366,0.741
WP4582,Cancer immunotherapy by CTLA4 blockade,3/1363,11/6992,0.366,0.741
WP5171,Leukotriene metabolic pathway,3/1363,11/6992,0.366,0.741
WP5173,Disorders of galactose metabolism ,3/1363,11/6992,0.366,0.741
WP5199,PtdIns 4 5 P2 in cytokinesis pathway,3/1363,11/6992,0.366,0.741
WP5382,TGFB Smad signaling,3/1363,11/6992,0.366,0.741
