GeneID,meanExpr,log2FC,log2FC SE,p-value,adj. p-value
VCAM1,72.1342222098935,2.43468967008839,0.95621964463894,0.000296078663636174,0.0240581740288782
RN7SL2,777.277604571114,2.41245322087035,0.943220487882242,0.000296909764108158,0.0240581740288782
EIF3L,2991.53272269818,0.573969082243744,0.194933917002255,0.000309368969813157,0.0249489212812355
NICN1,792.460102442746,-0.747156655962722,0.266123214976185,0.00031252392774411,0.0250844677098763
HMGCS1,3184.13997054464,-1.00856027313262,0.372750799554801,0.000316548270531477,0.025288194231754
ELAPOR2,380.729058139546,-0.721002988307659,0.258177581402841,0.00032014322960354,0.0254558747426815
ADGRA1,791.954186114509,-0.67597523759133,0.237624849085459,0.000323853279428,0.0256311041988225
RTP1,38.210870575444,-1.68446573095431,0.649159673562246,0.000327762423650649,0.0258203953742567
ATP2B2,6250.13210542155,-1.21591407250475,0.462797360328238,0.000332858181504816,0.0261009899377233
CD99,569.902548742522,1.41742190305083,0.544333202494036,0.00033465035835923,0.0261211490726635
PPP2R2A,793.53593069402,-0.378967833313431,0.120484673539234,0.000344980909417709,0.0266802651134386
HSPA1B,15849.6905356351,3.41553807773494,1.4094872477121,0.000345348335309114,0.0266802651134386
TIFA,61.7782282515983,1.40946925449971,0.543632926717449,0.000348392384326535,0.0266802651134386
CLIC1,236.370735370999,1.48155475620952,0.575531607441673,0.000348594853679977,0.0266802651134386
RN7SL3,137.33545129586,2.48622243295037,1.00815250395592,0.000349653215814339,0.0266802651134386
ADAM11,988.886870549752,-1.00326368323356,0.377610392695576,0.000357491380449959,0.0270149917419051
ZIC2,206.109486983785,1.25324752155287,0.483803720770888,0.000358849058357242,0.0270149917419051
LNCBRM,147.890064073766,-0.954570930131701,0.357213209988001,0.000360929301991172,0.0270149917419051
CEBPD,353.291228289973,1.68924513205793,0.664061263833239,0.000361217753475546,0.0270149917419051
SRI-AS1,157.49937511758,0.993028293219415,0.374432814465508,0.000361978027571366,0.0270149917419051
PLXNA1,1361.23427756857,-0.993272162341921,0.37479873502344,0.000363849235463719,0.0270179567839655
ASAP1,1099.6934519372,-0.753653503156469,0.273999803991814,0.000367518599036699,0.0270179567839655
CPNE4,823.465135032221,-0.859965895388202,0.318490305295861,0.000367604582968795,0.0270179567839655
DLGAP1-AS4,118.948257892011,-1.10300117340887,0.419711823248207,0.000368368945338505,0.0270179567839655
FAT2,11.4044446803907,-1.47130261319555,0.560357001652795,0.000375527803199961,0.0270864403449176
NCR3LG1,122.707485598584,-1.61369340718031,0.638991507838032,0.000377194311917722,0.0270864403449176
CRH,135.055987640834,-1.64768950413838,0.653140498988979,0.000380274034638271,0.0270864403449176
LOC101928338,18.8707310465505,-1.52118011703396,0.591275926459454,0.000380714576675182,0.0270864403449176
