,GSM3673216,GSM3673217,GSM3673218,GSM3673219,GSM3673220,GSM3673221,GSM3673222,GSM3673223
PANK4,8.64855280853327,7.79937182845736,8.80772243892581,8.59856255489864,8.01008319787528,8.43591278827901,8.22128273787268,8.42819739940845
HES5,4.54875049880017,7.17580555779777,4.61122759987356,3.69027604291005,1.81967014455729,2.96113895375686,4.66941682137703,4.67109748341285
TNFRSF14-AS1,3.42073475057111,2.06724215820908,3.89636144263707,3.16013903826645,4.0161422697294,2.13543390421725,2.96177143017883,3.49369289385452
TNFRSF14,6.1689118809636,6.08762843742644,6.76360632787256,6.62427128103939,6.46409913869995,5.22813351263845,5.56002517508919,6.18686677163325
PRXL2B,10.0190470428192,10.120251473556,10.4035414591246,10.0660790841138,10.0005450510912,9.91028804762437,9.95880365168004,10.6251079754574
MMEL1,6.85814021672995,7.47647936928406,7.48363420400374,7.103849325345,7.14379406266775,7.04990935280322,7.0817000297329,7.83039092323594
TTC34,3.9250396379488,3.16625263536256,4.12890977303811,3.28289558636847,3.47508737307233,3.36913901378169,3.19360770537921,5.68740263744859
PRDM16-DT,7.0246154913603,8.36482336114873,6.83116487873685,5.84217496677103,6.65728542582847,8.16022525857086,8.17457574279413,7.55556387930016
PRDM16,7.0246154913603,7.63541028176582,6.71674313858484,6.14699311820704,6.92095098588159,8.08558918178585,8.63017444203257,7.80514773075651
LOC105378604,2.6387352808349,3.60501631273746,2.41708664749425,2.31312372050559,5.37434665925761,5.0548518954,4.32295487465484,3.27578542634942
MEGF6,5.04936783763216,4.81363791756855,4.93159867852377,5.16720928618618,4.78476833323649,3.77887581356982,3.86607707376708,6.18686677163325
TPRG1L,10.7897417941742,11.2481802542474,11.9503040040226,11.8850943208557,11.3319301538582,11.4776073628487,11.50419628342,11.8332040309311
WRAP73,6.12327193406085,6.83636727174113,6.35298798712191,6.63583514469464,7.09122650928286,6.70746434537215,6.38970028173368,6.66213227646506
TP73,3.20401551017637,5.46193601139798,2.99013117518934,2.71312632081393,3.10266054901577,3.24553084030645,2.34325994648967,3.27578542634942
TP73-AS1,7.40756538752169,7.53969528171604,7.14614210770922,7.14489381220307,7.23141592517886,6.99339183650827,7.19301387639083,7.56762326352248
LRRC47,10.2311166395432,9.70633494327171,10.2668839703672,10.3866689395624,9.87206193229494,10.133737916993,9.86105805750847,10.161233787581
CEP104,8.74462278930518,8.60246882619677,8.11868318957019,8.1069286980057,8.75188148212711,7.87231387329117,8.84992491547657,8.13594454917639
DFFB,5.17397928311382,5.0403874378159,4.6615853417255,5.10200574693708,5.54040198302156,4.57938680752,5.01067596359198,5.25208232410182
C1orf174,7.31586790554459,7.47647936928406,7.38217365286741,7.41027391299579,7.46626275834216,7.08639396974982,7.29635088897853,7.36141856947571
AJAP1,11.0917719365305,9.13184102771601,10.4191765766528,10.5688749236629,9.4286978895451,9.53133572660004,10.5419691932881,9.90262264818779
NPHP4,7.45131726688441,6.77463986044699,6.86379367527036,7.1529644219497,6.67525409546041,7.09537275836437,7.16598019833553,7.24609519536369
KCNAB2,12.8247642309829,12.1239276377478,12.9499634271055,12.802808911949,12.9595410769521,12.7295737351409,13.012632415167,12.544687993246
