"original_id","symbol","mapped"
"51440","HPCAL4",TRUE
"10450","PPIE",TRUE
"656","BMP8B",TRUE
"54802","TRIT1",TRUE
"4610","MYCL",TRUE
"105378668","MYCL-AS1",TRUE
"84879","MFSD2A",TRUE
"10487","CAP1",TRUE
"5538","PPT1",TRUE
"6018","RLF",TRUE
"10269","ZMPSTE24",TRUE
"1298","COL9A2",TRUE
"64744","SMAP2",TRUE
"65243","ZFP69B",TRUE
"64789","EXO5",TRUE
"127396","ZNF684",TRUE
"9783","RIMS3",TRUE
"100130557","NFYC-AS1",TRUE
"4802","NFYC",TRUE
"9132","KCNQ4",TRUE
"163732","CITED4",TRUE
"1503","CTPS1",TRUE
"100507178","SLFNL1-AS1",TRUE
"200172","SLFNL1",TRUE
"22955","SCMH1",TRUE
"100132074","FOXO6",TRUE
"101929901","FOXO6-AS1",TRUE
"105378678","LOC105378678",TRUE
"59269","HIVEP3",TRUE
"22887","FOXJ3",TRUE
"284716","RIMKLA",TRUE
"728621","CCDC30",TRUE
"79717","PPCS",TRUE
"10465","PPIH",TRUE
"4904","YBX1",TRUE
"64175","P3H1",TRUE
"79078","C1orf50",TRUE
"105378683","TMEM269-DT",TRUE
"100129924","TMEM269",TRUE
"374969","SVBP",TRUE
"114625","ERMAP",TRUE
"51058","ZNF691",TRUE
"339539","LOC339539",TRUE
"6513","SLC2A1",TRUE
"440584","SLC2A1-DT",TRUE
"440585","CFAP144",TRUE
"10969","EBNA1BP2",TRUE
"149465","CFAP57",TRUE
"991","CDC20",TRUE
"64834","ELOVL1",TRUE
"102466723","MIR6734",TRUE
"112268225","LOC112268225",TRUE
"112950","MED8",TRUE
"107984947","MED8-AS1",TRUE
"23334","SZT2",TRUE
"100873952","SZT2-AS1",TRUE
"81888","HYI",TRUE
"5792","PTPRF",TRUE
"9682","KDM4A",TRUE
"100132774","KDM4A-AS1",TRUE
"6487","ST3GAL3",TRUE
"9048","ARTN",TRUE
"105378688","LINC02918",TRUE
"101929609","LOC101929609",TRUE
"9670","IPO13",TRUE
"1802","DPH2",TRUE
"533","ATP6V0B",TRUE
"8704","B4GALT2",TRUE
"149473","CCDC24",TRUE
"6536","SLC6A9",TRUE
"107984948","LOC107984948",TRUE
"55929","DMAP1",TRUE
"79033","ERI3",TRUE
"100874278","ERI3-IT1",TRUE
"55182","RNF220",TRUE
"107984951",NA,FALSE
"107984950","LOC107984950",TRUE
"79639","TMEM53",TRUE
"339541","ARMH1",TRUE
"11004","KIF2C",TRUE
"109623476","SNORD160",TRUE
"6202","RPS8",TRUE
"94161","SNORD46",TRUE
"94162","SNORD38A",TRUE
"94163","SNORD38B",TRUE
"266675","BEST4",TRUE
"1263","PLK3",TRUE
"343521","DYNLT4",TRUE
"149478","BTBD19",TRUE
"107984952","LOC107984952",TRUE
"8643","PTCH2",TRUE
"8891","EIF2B3",TRUE
"79654","HECTD3",TRUE
"7389","UROD",TRUE
"57643","ZSWIM5",TRUE
"105378691","LOC105378691",TRUE
"400752","LINC01144",TRUE
"84842","HPDL",TRUE
"4595","MUTYH",TRUE
"114034","TOE1",TRUE
"10420","TESK2",TRUE
"126661","CCDC163",TRUE
"25974","MMACHC",TRUE
"5052","PRDX1",TRUE
"10327","AKR1A1",TRUE
"4678","NASP",TRUE
"149483","CCDC17",TRUE
"60313","GPBP1L1",TRUE
"728963","RPS15AP10",TRUE
"51249","TMEM69",TRUE
"3652","IPP",TRUE
"23139","MAST2",TRUE
"110117499","P3R3URF-PIK3R3",TRUE
"8503","PIK3R3",TRUE
"10103","TSPAN1",TRUE
"55624","POMGNT1",TRUE
"541468","LURAP1",TRUE
"8438","RAD54L",TRUE
"10489","LRRC41",TRUE
"7388","UQCRH",TRUE
"387338","NSUN4",TRUE
"2166","FAAH",TRUE
"100507423","MKNK1-AS1",TRUE
"8569","MKNK1",TRUE
