ID,Description,NGenes,Direction,PValue,FDR
WP2011,SREBF and miR33 in cholesterol and lipid homeostasis,16,Up,0.13920443923440107,0.6295232602320049
WP5356,Affected pathways in Duchenne muscular dystrophy,65,Down,0.14034776097217977,0.6306766474066307
WP4577,Neurodegeneration with brain iron accumulation NBIA subtypes pathway,44,Down,0.14363569489537276,0.641392096702608
WP5044,Kynurenine pathway and links to cell senescence,16,Down,0.14511451947839696,0.6439456801853864
WP3998,Prader Willi and Angelman syndrome,85,Up,0.1467476469553905,0.6471480083125916
WP4190,Mevalonate arm of cholesterol biosynthesis pathway,13,Up,0.14836780017172121,0.6472328448182182
WP5316,Primary ovarian insufficiency,138,Up,0.1485900756413656,0.6472328448182182
WP5510,16p12 2 copy number variation syndrome 520kb,51,Down,0.1497884558975303,0.6484744127271128
WP5345,1p36 copy number variation syndrome,93,Down,0.1512488784093012,0.6508285070945687
WP5407,15q11q13 copy number variation,54,Up,0.15253678438647614,0.6524163669542051
WP5409,PAFAH1B1 copy number variation,10,Up,0.15420838024759456,0.6540005336246724
WP615,Senescence and autophagy in cancer,94,Down,0.15474942204076755,0.6540005336246724
WP5503,Albuterol and budesonide therapy for asthma,25,Down,0.15909774493796913,0.6683988100944265
WP5194,Synthesis of ceramides and 1 deoxyceramides,20,Up,0.1607473659137807,0.6713566458752017
WP1946,Cori cycle,14,Down,0.16372939739759845,0.6798121178496778
WP2291,Deregulation of Rab and Rab effector genes in bladder cancer,14,Up,0.16737631973178024,0.6909138779625813
WP5412,8q11 23 RB1CC1 copy number variation,15,Down,0.17029740472889532,0.6963670389915347
WP5492,AMPK regulation of mammary milk protein synthesis,16,Down,0.17116247564605366,0.6963670389915347
WP4814,Somatic sex determination,12,Up,0.17201230408804213,0.6963670389915347
WP4719,Eicosanoid metabolism via cyclooxygenases COX,22,Down,0.17262056177818325,0.6963670389915347
WP2355,Corticotropin releasing hormone signaling,81,Up,0.1750024874207574,0.7019873789194223
WP268,Notch signaling,41,Down,0.17785238227193156,0.705657227907483
WP5376,17p13 3 YWHAE copy number variation,20,Up,0.17809835222967893,0.705657227907483
WP5546,22q11 2 distal CNV,94,Up,0.17982084674943502,0.705657227907483
WP2005,miR targeted genes in muscle cell,327,Up,0.17989289894542876,0.705657227907483
WP5172,Iron metabolism disorders,15,Down,0.18232499544431888,0.7112678393706945
WP2359,Parkin ubiquitin proteasomal system pathway,66,Down,0.1867850032235122,0.7229102136518404
WP2261,Glioblastoma signaling,81,Up,0.1873457455097727,0.7229102136518404
WP581,EPO receptor signaling,23,Down,0.1896220965374374,0.7277388569815164
WP4752,Base excision repair,31,Up,0.19220531587822454,0.7322502373645617
WP5173,Disorders of galactose metabolism,12,Down,0.19286027378475076,0.7322502373645617
WP4792,Purine metabolism,12,Down,0.19422834622995724,0.7335219458684555
WP4724,Omega 9 fatty acid synthesis,13,Up,0.19900386281275625,0.736924356238567
WP2023,Cell differentiation expanded index,16,Down,0.19957046898821393,0.736924356238567
WP69,T cell receptor signaling,60,Up,0.20081258137619545,0.736924356238567
WP5171,Leukotriene metabolic pathway,10,Down,0.20130496980939097,0.736924356238567
WP2436,Dopamine metabolism,11,Up,0.2029544017303419,0.736924356238567
WP4542,Leukocyte intrinsic Hippo pathway functions,31,Up,0.2057786471248639,0.736924356238567
WP1533,Vitamin B12 metabolism,40,Down,0.20672288156107915,0.736924356238567
