ID,Description,NES,pval,padj,size,leadingEdge
WP4912,SARS coronavirus and innate immunity,-1.4237515532210754,0.0845771144278607,0.2336735295852752,16,TICAM1;TLR3;IFNAR2;MAVS;IFIH1;IRF3;IRF9
WP395,IL4 signaling,-1.3519730593644812,0.08566978193146417,0.23576054161454116,46,ELK1;FLNA;IL4R;STAT5A;CEBPB;STAT3;RELA;NFKBIA;PTPN6;STAT5B;NFKB1;MAPK3;SHC1;SOCS3;FOS;IRS2;JAK1;JAK2
WP4336,ncRNAs in Wnt signaling in hepatocellular carcinoma,-1.327148939628225,0.08682634730538923,0.23800634026065517,72,ROR1;FZD7;TCF7;KREMEN1;CCND3;TCF7L2;TCF7L1;WIF1;MYC;FZD2;DVL3;JUN;DKK1
WP5205,Clock controlled autophagy in bone metabolism,-1.3211832354403452,0.08915304606240713,0.24342960624071322,71,TNFRSF11B;NFATC1;CSF1;BHLHE41;DRAM2;SMAD4;SMAD5;CTSK;SQSTM1;SMAD1;SMAD9;FYCO1;DKK1;RUNX2;NOTCH1;TGFB1
WP5176,Disorders of bile acid synthesis and biliary transport,-1.4134208217094657,0.0912106135986733,0.24713230672532996,16,ABCC4;ACOX2;HSD3B7;CYP27A1;CYP7B1;SCP2;HSD17B4;FABP6;ABCD3
WP5103,Progeria associated lipodystrophy,-1.390570388553254,0.09121621621621621,0.24713230672532996,19,SMAD4;LMNA;TGFB1;ZMPSTE24;BANF1;POLD1;SMAD2;LMNB2;FNTA
WP1403,AMP activated protein kinase signaling,1.2617403928030644,0.09348441926345609,0.2522996489002155,63,HMGCR;PLCB1;PPARGC1B;CCNA1;CCNB1;CPT1C;RPS6KB1;CAMKK2;MTOR;PIK3R1;PIK3CB;PIK3CD;PIK3C3;PRKACB;PRKAA2;ACACA;CAMKK1;PRKAA1;PRKAG2
WP5433,PGK1 PKM2 KHKC KHKA acting as protein kinases,-1.4161062359289245,0.09466437177280551,0.25450152257381176,14,STAT3;H3-3A;PAK2;SNAP23;H3-3B;H2AX
WP4880,Host pathogen interaction of human coronaviruses interferon induction,-1.3519259167022017,0.09584664536741214,0.25605605842176166,33,TICAM1;MYD88;IFNAR2;JUN;NFKBIA;RIPK1;MAVS;IFIH1;IRF3;NFKB1;IRF9;FOS;OAS3;JAK1
WP410,Exercise induced circadian regulation,-1.3371643125373953,0.09597523219814241,0.25605605842176166,45,BTG1;RBPMS;PIGF;CEBPB;GSTP1;HLA-DMA;TAB2;TOB1;QKI;GFRA1;PPP1R3C;DAZAP2;ETV6;UGP2;PPP2CB;G0S2
WP5503,Albuterol and budesonide therapy for asthma,1.357319910553036,0.09635416666666667,0.25608959125475284,23,PLCB1;ADCY1;NR3C1;PRKAR1B;ADCY7;ADCY6;PRKAR1A;PLCB4
WP2870,Extracellular vesicle mediated signaling in recipient cells,-1.3676765735539569,0.0967741935483871,0.2562316715542522,26,TGFB2;TGFBR3;ERBB2;EGFR;HGF;SMAD4
WP4357,NRF2 ARE regulation,-1.3768506471228965,0.09735973597359736,0.2568092658322436,22,HMOX1;CEBPB;NFE2L2;YES1;SLC7A11;NQO1;FYN;GCLM;PRKCA
WP5314,Lactate shuttle in glial cells,1.4187135432504308,0.09859154929577464,0.25908080059303185,13,NUDT14;CA4;SLC16A7
WP5088,Prostaglandin signaling,-1.3957395807690867,0.10281923714759536,0.26917845230774967,16,CSF1;IRF7;CCL2;TGFB1;PYCARD;NFKB1;IL1B;CASP1
WP2817,Mammary gland development pregnancy and lactation stage 3 of 4,-1.3386075173730745,0.1038961038961039,0.26997537778206926,37,GJB2;ERBB2;EGFR;STAT5A;CEBPB;MYC;NFIA;STAT5B;ORAI1;USF2
WP481,Insulin signaling,1.2001022913439905,0.10384615384615385,0.26997537778206926,156,EGR1;MAPK11;PRKCD;PRKCQ;CYTH3;PIK3C2G;MAPK13;KIF3A;MAP2K6;PRKCB;MAPK8;RPS6KB1;GSK3B;MAP3K9;MAP2K4;MAP2K1;MAPK9;MTOR;MAP3K7;PIK3R1;MAP4K3;PRKCI;SGK2;PIK3CB;VAMP2;RPS6KA3;MAPK12;MAPK1;SNAP25;PIK3CD;STXBP1;PIK3C3;INPP4A;MAPK6;MAPK10;PRKAA2;RPS6KA6;EIF4E;GRB14;PIK3R4;PRKAA1;PRKCZ;MAP2K7
WP3644,NAD metabolism,-1.367688573238779,0.10696095076400679,0.273867049758391,15,SIRT4;NMNAT3;SIRT6;SIRT1;NMNAT1;CD38
WP5038,Mitochondrial immune response to SARS CoV 2,-1.3569919898211926,0.1064516129032258,0.273867049758391,26,TICAM1;TLR3;NFKB2;IRF7;MAVS;IFIH1;IRF3;NFKB1;PHB1;NDUFB9;ECSIT
WP5501,GNAQ p R183Q drives capillary malformation,1.3175096758193525,0.10649350649350649,0.273867049758391,24,PRKCD;PRKCQ;PPP3CA;PRKCE;PRKCB;PRKCG;PPP3CB;PPP3R1;PRKCI
WP138,Androgen receptor signaling,-1.2881354270061138,0.10666666666666667,0.273867049758391,83,FLNA;TGIF1;FOXO1;EGFR;SMAD4;PATZ1;LIMK2;STAT3;RELA;ROCK1;JUN;SP1;RUNX2;HDAC1;PRDX1;RACK1
