ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0003014,renal system process,0.01247607801128744,35,80,1.754807692307692,ADCY6/ADORA2A/AGTR1/AKR1C3/AQP1/AQP3/ATP6V1B1/AVPR2/BCL2/BMP4/BTC/CD34/CLDN4/CORIN/CYP4F12/EDNRA/F2RL1/GJA5/GNAI2/GSN/HSD11B2/HYAL2/LGMN/MYO1E/MYO5B/NPR3/PDGFB/PON3/PTPRO/RHPN2/SCN11A/SLC15A2/STC1/TACR1/TRPV1
GO:0045109,intermediate filament organization,0.01312186815252193,13,20,2.6071428571428568,DSP/KRT1/KRT14/KRT15/KRT16/KRT17/KRT19/KRT6A/KRT7/NEFH/PKP1/PKP2/PRPH
GO:0035987,endodermal cell differentiation,0.0133417994918401,22,43,2.0521339125990288,COL11A1/COL4A2/COL5A1/COL5A2/COL6A1/FN1/GRB2/HMGA2/INHBA/ITGA4/ITGA5/ITGA7/ITGAV/ITGB2/LAMA3/LAMB1/MMP14/MMP8/MMP9/MYH9/NODAL/SOX2
GO:0001909,leukocyte mediated cytotoxicity,0.01486379838201261,40,96,1.671245421245421,ARG1/ARRB2/CTSC/CTSG/CXCL6/ELANE/F2RL1/FADD/FCGR1A/FCGR2A/FCGR3A/GRB2/GZMB/HAVCR2/HLA-A/HLA-B/HLA-G/HPRT1/IL12RB1/IL18/IL7R/ITGAM/LEP/LGALS9/NCKAP1L/NECTIN2/NECTIN4/NOS2/PVR/RAB27A/SERPINB9/SPI1/TGFB1/TIGIT/TREM1/TUBB/TYROBP/ULBP1/ULBP2/VAV1
GO:1901606,alpha-amino acid catabolic process,0.01535290352446453,32,72,1.7826617826617828,AASS/ACADSB/ADHFE1/ALDH4A1/ALDH8A1/AMT/ARG1/ARHGAP11B/CARNS1/CBS/CSAD/DDAH1/FTCD/GLS2/GPT/GPT2/HAL/HDC/HMGCLL1/HOGA1/IL4I1/KMO/KYNU/MCCC1/NOS1/NOS2/PRODH/SDS/SDSL/SHMT1/SLC25A21/TDO2
GO:0060740,prostate gland epithelium morphogenesis,0.01543401993731085,12,18,2.673992673992674,AR/BMP4/BMP7/ESR1/FGFR2/ID4/RARG/SFRP1/SOX9/TNC/TP63/WNT5A
GO:0045216,cell-cell junction organization,0.01701106061141062,54,141,1.536123451017068,ACTB/ACTG1/ADAM10/AMOT/APLNR/CDH1/CDH11/CDH13/CDH15/CDH2/CDH20/CDH3/CDH5/CLDN1/CLDN10/CLDN11/CLDN14/CLDN4/CLDN7/CSF1R/CSK/CXADR/DSP/ECT2/EPHA4/EXT1/F2RL1/FBF1/FLNA/FSCN1/GJA5/GJB6/JUP/LIMS1/NLGN4X/OCLN/PARD3/PARD6A/PARD6B/PATJ/PERP/PKP1/PKP2/PRKCA/PTPRO/RAB13/RHOC/SNAI1/SNAI2/TGFB1/TGFB3/TGFBR1/WDR1/WNT11
GO:0098813,nuclear chromosome segregation,0.01811441517210141,64,174,1.4753063028925095,ACTB/ACTR2/ACTR3/AURKA/AURKB/BIRC5/BRIP1/BUB1/BUB1B/CCNB1/CCNB2/CCNE1/CCNE2/CDC20/CDC6/CDCA5/CDK1/CDT1/CENPE/CENPF/DLGAP5/DPF1/ECT2/ESPL1/FANCD2/FLNA/HSPA1B/KAT2B/KIF15/KIF23/KIF2C/KIF4A/KNSTRN/KPNB1/MAD2L1/MAD2L2/MND1/MYBL2/NCAPG2/NCAPH/NEK2/NUP62/P3H4/PLK1/PSRC1/PTTG1/RACGAP1/RAN/RCC1/SGO1/SHOC1/SMC2/SMC4/STAG3/SUN1/TACC3/TOP2A/TPX2/TRIP13/TTK/TUBG1/UBE2C/UHRF1/USP44
GO:0031342,negative regulation of cell killing,0.01815262307332638,16,28,2.291993720565149,ARRB2/CR1/GRB2/HAVCR2/HLA-A/HLA-B/HLA-G/IL7R/LGALS9/NCKAP1L/NECTIN2/NECTIN4/PVR/SERPINB9/TGFB1/TIGIT
GO:1904018,positive regulation of vasculature development,0.01816221104382268,52,135,1.5449735449735449,ANGPT2/ANGPT4/APLNR/AQP1/BRCA1/C3/C3AR1/CD34/CDH5/CMA1/CX3CL1/CXCR4/CYBB/CYP1B1/DDAH1/ENG/ETS1/FGF18/FOXC2/GAB1/GATA2/GREM1/GRN/HIF1A/HMGA2/HMOX1/ITGA5/ITGAX/ITGB2/ITGB3/JUP/KDR/KLF4/NODAL/NTRK1/PKM/PRKCA/PTGIS/RAPGEF3/RUNX1/SERPINE1/SMOC2/SPHK1/TBXA2R/TGFB1/TGFBR1/TGM2/THBS1/TIE1/TLR3/VEGFB/WNT5A
