ID,Description,p.adjust,k,K,enr_ratio,geneID
GO:0044839,cell cycle G2/M phase transition,0.00405584149597198,17,97,2.771973523374617,AURKA/AURKB/BIRC5/CCNA2/CCNB1/CCNB2/CDC25C/CDC6/CDK1/CENPF/CLSPN/FOXM1/GPR132/HSPA2/ORC1/PKMYT1/PLK1
GO:0050817,coagulation,0.00432726809626705,23,156,2.331927952733322,ADRA2A/ANGPTL4/CD9/CSRP1/F11R/F13A1/F2RL1/F3/FAP/FGA/FGB/FGG/GAS6/HNF4A/ITGA2/ITGB3/ITPR3/PDGFA/SERPINA1/SERPINE2/SHH/VTN/WNT3A
GO:0043271,negative regulation of monoatomic ion transport,0.00434256123949896,14,71,3.1187572864479947,ADRA2A/AGT/HTR1B/KCNH2/MAOB/MMP9/PLN/PTGS2/PTK2B/RGS4/SERPINE2/SPINK1/STC1/TRDN
GO:0055013,cardiac muscle cell development,0.00457756484486026,13,63,3.263733532189908,ACTC1/AKAP6/CDK1/FHL2/ISL1/MYH11/MYH6/PPARA/PROX1/RGS4/TBX3/TBX5/TCAP
GO:0006959,humoral immune response,0.00473829682280454,18,108,2.636092468307233,C3/C6/CCL2/CFH/CFI/CLU/CXCL1/CXCL2/CXCL3/CXCL5/CXCL6/EXO1/FGA/FGB/GATA3/GATA6/NPPB/TF
GO:0007599,hemostasis,0.00502154138589469,23,158,2.302409877382267,ADRA2A/ANGPTL4/CD9/CSRP1/F11R/F13A1/F2RL1/F3/FAP/FGA/FGB/FGG/GAS6/HNF4A/ITGA2/ITGB3/ITPR3/PDGFA/SERPINA1/SERPINE2/SHH/VTN/WNT3A
GO:0002064,epithelial cell development,0.00551432580281352,22,149,2.3353302403795624,ARHGEF26/BMP5/DACT2/EPAS1/F11R/F2RL1/FOXA1/GRHL2/ICAM1/KLF5/MET/ONECUT1/PAX6/PKHD1/PROX1/RAB25/SFN/STC1/TJP2/TMOD1/WNT7A/WNT7B
GO:0050673,epithelial cell proliferation,0.00555093842922025,36,302,1.8854171296502067,APLNR/APOA1/BMP5/CCL2/CDH3/CDKN2B/ENG/F3/FAP/FLT1/GATA3/GATA6/GDF5/HMGB2/HMOX1/HNF1B/IGF2/IQGAP3/IRF6/ITGB3/KIT/NKX3-1/PAX6/PKHD1/PROX1/RUNX2/SFN/SGPP2/SHH/SPINK1/TBX2/TGFA/UHRF1/WNT2/WNT3A/WNT7A
GO:0031032,actomyosin structure organization,0.00602360362165095,22,150,2.319761372110366,ACTA1/ACTC1/APOA1/CASQ1/CNN1/CSRP1/ELN/F11R/IQGAP3/KRT19/KRT8/LDB3/MET/MYH11/MYH6/PGM5/PROX1/PTGER4/PTK2B/RACGAP1/TCAP/TMOD1
GO:1901992,positive regulation of mitotic cell cycle phase transition,0.0068862136082094,13,66,3.115382007999458,BIRC5/CCNB1/CCNE2/CDC20/CDC25C/CDC6/CDCA5/CDK1/DLGAP5/ESPL1/HSPA2/RRM2/UBE2C
GO:0007565,female pregnancy,0.00694686503075144,18,112,2.541946308724832,ADRA2A/AMBP/CLDN4/CORIN/DSG2/FOS/GJB2/HPGD/ITGA2/ITGB3/ITGB4/MMP9/NPPA/OXTR/PTGS2/PTHLH/SPP1/STC1
GO:0060420,regulation of heart growth,0.00730066258944,11,50,3.479642058165548,AKAP6/CDK1/GATA6/MYH6/PPARA/PROX1/RGS4/TBX2/TBX20/TBX5/WNT2
GO:0045103,intermediate filament-based process,0.00766856709853549,8,28,4.519015659955257,ARHGEF28/DSP/KRT17/KRT18/KRT19/KRT7/PKP2/SHH
GO:0045104,intermediate filament cytoskeleton organization,0.00766856709853549,8,28,4.519015659955257,ARHGEF28/DSP/KRT17/KRT18/KRT19/KRT7/PKP2/SHH
GO:0002009,morphogenesis of an epithelium,0.00852887118105075,40,358,1.7672128279154635,AGT/APLNR/BMP5/CA2/ENG/FOXA1/FOXQ1/GATA3/GBX2/GREB1L/GRHL2/HAND1/HAND2/HNF1B/ITGB3/KRT17/MET/NKX3-1/PDGFA/PERP/PKHD1/PROX1/RIPK4/SEMA3E/SHH/TBX2/TBX20/TBX3/TBX5/TCAP/TFAP2A/TIMELESS/WNT10A/WNT11/WNT2/WNT3A/WNT6/WNT7A/WNT7B/ZIC3
GO:0033260,nuclear DNA replication,0.0093251145838019,8,29,4.363187533749904,CDC45/CDT1/DBF4/FEN1/MCM2/MCM4/MCM6/TK1
GO:0048146,positive regulation of fibroblast proliferation,0.00937228509359091,10,44,3.5946715476916817,AGT/AQP1/CCNA2/CCNB1/CDC6/E2F1/GAS6/ITGB3/PDGFA/WNT2
GO:0040017,positive regulation of locomotion,0.00937651202746598,43,397,1.713128102829386,ADRA2A/AGT/ANXA3/AQP1/CCL2/CLDN4/CYP1B1/F2RL1/F3/FGF18/FLT1/GAS6/GATA3/GRIA1/HMOX1/ICAM1/ITGA2/ITGB3/KIT/LAMC2/MET/MMP9/NTRK3/ONECUT1/PAX6/PDGFA/PERP/POSTN/PREX1/PROX1/PTGS2/PTK2B/RAB25/RELN/SELE/SEMA3E/SEMA6D/TF/TNFSF14/VIL1/VTN/WDR62/WNT7A
GO:0002027,regulation of heart rate,0.01029046015293678,13,70,2.937360178970917,CTNNA3/DSC2/DSG2/DSP/EPAS1/GCH1/ISL1/KCNH2/MYH6/NPPA/PKP2/PLN/RGS4
GO:0072132,mesenchyme morphogenesis,0.01047640845455606,11,53,3.2826811869486305,ACTA1/ACTC1/APLNR/BMP5/ENG/ISL1/TBX2/TBX20/TBX3/WNT11/WNT3A
GO:0072577,endothelial cell apoptotic process,0.01065070728091498,10,45,3.5147899577429778,ANGPTL4/CCL2/F3/FGA/FGB/FGG/GAS6/GATA3/ICAM1/ITGB3
GO:2000147,positive regulation of cell motility,0.01155219847783865,42,390,1.7033212872139047,ADRA2A/AGT/ANXA3/AQP1/CCL2/CLDN4/CYP1B1/F2RL1/F3/FGF18/FLT1/GAS6/GATA3/HMOX1/ICAM1/ITGA2/ITGB3/KIT/LAMC2/MET/MMP9/NTRK3/ONECUT1/PAX6/PDGFA/PERP/POSTN/PREX1/PROX1/PTGS2/PTK2B/RAB25/RELN/SELE/SEMA3E/SEMA6D/TF/TNFSF14/VIL1/VTN/WDR62/WNT7A
GO:0030198,extracellular matrix organization,0.01181314500552307,23,171,2.1273728691602236,ADAMTS2/ADAMTS20/ADAMTS9/AGT/AXIN2/COL9A3/CYP1B1/ELN/ENG/FAP/FGFR4/FMOD/GAS6/ITGA2/ITGB3/LOXL1/LOXL4/MMP9/MYH11/POSTN/PTX3/VTN/WNT3A
GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,0.01310027752999793,7,24,4.613161819537658,BMP5/FGA/FGB/FGG/HMGB2/HMOX1/ICAM1
GO:0046622,positive regulation of organ growth,0.01439809247988228,9,39,3.649974186886938,AKAP6/CDK1/GATA6/IGF2/PROX1/TBX2/TBX20/TBX5/WNT2
GO:0001709,cell fate determination,0.0165792895349236,7,25,4.428635346756152,GATA3/GATA6/ISL1/PAX6/PROX1/TBX2/WNT7A
GO:0051968,"positive regulation of synaptic transmission, glutamatergic",0.0165792895349236,7,25,4.428635346756152,CACNG7/CCL2/NRXN1/OXTR/PTGS2/PTK2B/RELN
GO:0035296,regulation of tube diameter,0.01661464981436957,16,103,2.4569405529853823,ADRA2A/AGT/F2RL1/FGA/FGB/FGG/GCH1/HRH1/HTR1B/HTR1D/KCNMA1/NPPA/NPPB/OXTR/PER2/PTGS2
