ID,Description,NGenes,Direction,PValue,FDR
WP2839,Hair follicle development organogenesis stage 2 of 3,30,Down,0.12033214526893483,0.5139487409378
WP5488,Pathways into methionine and folate cycles,36,Up,0.12153395539021648,0.5144690050172671
WP5220,Metabolic reprogramming in pancreatic cancer,40,Down,0.12190520852313243,0.5144690050172671
WP5408,15q25 copy number variation,41,Down,0.12767127136303125,0.5356149786768589
WP4971,Phosphoinositides metabolism,47,Down,0.1287808918912224,0.5370920726522158
WP4331,Neovascularization processes,36,Up,0.13006933879662302,0.5392933403906767
WP5342,Pathophysiological roles of DUX4 in FSHD1,12,Down,0.13113701904394454,0.5405589912916086
WP3679,Cell type dependent selectivity of CCK2R signaling,10,Down,0.1341152547854498,0.5453074108487459
WP334,GPCRs class B secretin like,15,Up,0.13478797387781985,0.5453074108487459
WP3529,Zinc homeostasis,23,Down,0.13828209616374312,0.5453074108487459
WP554,ACE inhibitor pathway,11,Down,0.13865304529017658,0.5453074108487459
WP4754,IL18 signaling,46,Up,0.1390770837696204,0.5453074108487459
WP405,Eukaryotic transcription initiation,42,Up,0.13935091581125306,0.5453074108487459
WP4304,Oligodendrocyte specification and differentiation leading to myelin components for CNS,19,Down,0.13955571609788753,0.5453074108487459
WP2038,Microtubule cytoskeleton regulation,46,Up,0.14126512944000916,0.5453074108487459
WP5314,Lactate shuttle in glial cells,12,Down,0.14171403683594072,0.5453074108487459
WP4674,Head and neck squamous cell carcinoma,70,Up,0.14195634856855857,0.5453074108487459
WP4522,Metabolic pathway of LDL HDL and TG including diseases,13,Down,0.14242006482098746,0.5453074108487459
WP4324,Mitochondrial complex I assembly model OXPHOS system,56,Down,0.14300821835410027,0.5453074108487459
WP5365,4p16 3 copy number variation,30,Up,0.14302717861166522,0.5453074108487459
WP5304,Cholesterol metabolism,58,Down,0.14355585634061846,0.5453074108487459
WP5238,Cholestasis,15,Down,0.14382579101370307,0.5453074108487459
WP3932,Focal adhesion PI3K Akt mTOR signaling,260,Down,0.1477329869461752,0.5571419560895651
WP1984,Integrated breast cancer pathway,145,Up,0.14907841670865413,0.5572807620973287
WP5409,PAFAH1B1 copy number variation,11,Down,0.15123952397668344,0.5572807620973287
WP5561,Integrative Analysis of Treg Glial Interactions,85,Down,0.15125366929021988,0.5572807620973287
WP2006,miR targeted genes in squamous cell,119,Down,0.1519813182906331,0.5572807620973287
WP474,Endochondral ossification,58,Down,0.15248585027768938,0.5572807620973287
WP4808,Endochondral ossification with skeletal dysplasias,58,Down,0.15248585027768938,0.5572807620973287
WP4726,Sphingolipid metabolism integrated pathway,24,Down,0.1556039000267979,0.5657598211230754
WP3877,MYD88 distinct input output pathway,16,Up,0.1596052807716044,0.577347673811569
WP2001,miR targeted genes in adipocytes,16,Up,0.16284967033767597,0.5818349997867757
WP313,Hepatocyte growth factor receptor signaling,33,Down,0.16317728872617304,0.5818349997867757
WP12,Osteoclast signaling,12,Down,0.16330770797964506,0.5818349997867757
WP2817,Mammary gland development pregnancy and lactation stage 3 of 4,40,Down,0.1668755963288694,0.5861922241641332
WP5472,Phosphoinositide 3 kinase PI3K family,10,Down,0.16690289557681504,0.5861922241641332
WP4787,Osteoblast differentiation and related diseases,103,Down,0.1674854987975336,0.5861922241641332
WP3888,VEGFA VEGFR2 signaling,417,Down,0.16783783004981528,0.5861922241641332
WP2857,Mesodermal commitment pathway,139,Down,0.1713275697099077,0.5934245927668392
WP4814,Somatic sex determination,11,Down,0.17316563137918817,0.5934245927668392
WP4559,Interactions between immune cells and microRNAs in tumor microenvironment,20,Up,0.17489053306983354,0.5934245927668392
WP5343,Abnormal calcium handling and its effects on muscle contraction in DMD,11,Down,0.17533308680809961,0.5934245927668392
WP357,Fatty acid biosynthesis,22,Down,0.1754030002495076,0.5934245927668392
WP4534,Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms,44,Down,0.17598892729740578,0.5934245927668392
WP5158,Urotensin II mediated signaling,62,Up,0.17650968107365944,0.5934245927668392
WP4493,Cells and molecules involved in local acute inflammatory response,14,Down,0.17660449798843875,0.5934245927668392
WP5293,Acute myeloid leukemia,58,Up,0.17831118348810066,0.5938225070033685
WP3942,PPAR signaling,40,Down,0.17839801691356486,0.5938225070033685
WP455,GPCRs class A rhodopsin like,117,Down,0.18268541458024523,0.6052521445672611
WP5176,Disorders of bile acid synthesis and biliary transport,19,Down,0.18365153596308287,0.6056229720829105
WP2813,Mammary gland development embryonic development stage 1 of 4,13,Down,0.18587792670840106,0.6101270835011868
WP3871,Valproic acid pathway,10,Down,0.18939605525007594,0.6188101528677596
WP138,Androgen receptor signaling,83,Up,0.19401542166194533,0.630995109900547
WP4760,PKC gamma calcium signaling in ataxia,17,Down,0.19580485622336063,0.6339070459468616
WP2003,miR targeted genes in leukocytes,125,Up,0.19828899498053662,0.6367934701884598
WP5372,Involvement of secretase in neurodegenerative diseases,17,Up,0.1984927459966849,0.6367934701884598
WP5362,TAR syndrome,49,Up,0.20428672475980522,0.6520269612194691
WP3613,Photodynamic therapy induced unfolded protein response,27,Down,0.20508041234406432,0.6520269612194691
WP5085,Vasopressin regulated water reabsorption,39,Down,0.20707741470844773,0.6523976563425183
WP47,Hedgehog signaling,13,Up,0.20832096942251324,0.6523976563425183
WP4558,Interferon mediated signaling,16,Down,0.2091410376447189,0.6523976563425183
WP5112,Familial hyperlipidemia type 5,10,Down,0.20960989285114323,0.6523976563425183
WP3859,TGF beta signaling in thyroid cells for epithelial mesenchymal transition,18,Up,0.20979783589011874,0.6523976563425183
WP4830,GDNF RET signaling axis,26,Up,0.21116817336282961,0.6537914188395031
WP5110,Familial hyperlipidemia type 3,11,Down,0.21293092231503058,0.6563827127015508
WP3594,Circadian rhythm genes,166,Up,0.2144609291729581,0.6575789594961211
WP1528,Physiological and pathological hypertrophy of the heart,24,Down,0.21613724279738128,0.6575789594961211
WP2369,Histone modifications,46,Up,0.21614105621204902,0.6575789594961211
WP481,Insulin signaling,155,Down,0.21761738532703703,0.6575789594961211
WP3931,Embryonic stem cell pluripotency pathways,103,Down,0.21827281790033798,0.6575789594961211
WP5078,T cell modulation and desmoplasia in pancreatic cancer,39,Down,0.21888382854877936,0.6575789594961211
WP5036,Angiotensin II receptor type 1 pathway,28,Down,0.22294200305224937,0.6660940499270718
WP2005,miR targeted genes in muscle cell,326,Down,0.22370075951913138,0.6660940499270718
WP2035,Follicle stimulating hormone FSH signaling,21,Up,0.2245366402433994,0.6660940499270718
WP1584,Type II diabetes mellitus,16,Down,0.2256340129100407,0.6665604798050786
WP3873,RIOK1 and RIOK2 in EGFR and PI3K mediated tumorigenesis,15,Up,0.22798061310124632,0.6706981522356168
WP3925,Amino acid metabolism,72,Down,0.23518452367068945,0.6848324904438431
WP4290,Metabolic reprogramming in colon cancer,40,Up,0.23618169853601712,0.6848324904438431
WP5503,Albuterol and budesonide therapy for asthma,25,Down,0.23707846504404806,0.6848324904438431
WP5475,Hallmark of cancer sustaining proliferative signaling,93,Up,0.2376137191946661,0.6848324904438431
WP107,Translation factors,50,Up,0.237614658179387,0.6848324904438431
WP23,B cell receptor signaling,85,Down,0.2391537863429814,0.6853403607294669
WP61,Notch signaling,50,Up,0.24046948976134175,0.6853403607294669
WP58,Monoamine GPCRs,17,Down,0.2408547778211488,0.6853403607294669
WP1541,Energy metabolism,44,Down,0.24165739094833108,0.6853403607294669
WP3937,Microglia pathogen phagocytosis pathway,24,Down,0.2429224598686763,0.6861833627366195
WP3869,Cannabinoid receptor signaling,25,Down,0.24397446024936342,0.6864202076063439
WP3996,Ethanol effects on histone modifications,27,Up,0.2457586698108963,0.6870460448293494
WP1425,Bone morphogenic protein signaling and regulation,12,Down,0.24613497233660753,0.6870460448293494
WP2828,Bladder cancer,39,Down,0.25069988900911516,0.6949422453935923
WP2525,Trans sulfuration one carbon metabolism and related pathways,61,Up,0.25092413938047903,0.6949422453935923
WP5181,Roles of ceramides in development of insulin resistance,18,Down,0.25245647376399866,0.6964655248975683
WP3935,Leptin insulin signaling overlap,14,Up,0.25490778587839175,0.6996044928369478
WP5483,Hallmark of cancer non mutational epigenetic reprogramming,17,Up,0.256150345625332,0.6996044928369478
