ID,NGenes,Direction,PValue,FDR
GO:0048662,17,Down,0.30717706795215355,0.7447678624821382
GO:0008543,68,Down,0.30738960053639447,0.7447678624821382
GO:0003198,10,Up,0.30824104619411435,0.7458721079279916
GO:0007035,13,Down,0.31109629128692673,0.7517739870539477
GO:1900006,11,Up,0.3114777102860123,0.7517739870539477
GO:0090141,15,Down,0.31236835796745427,0.7529595329522395
GO:0071222,99,Up,0.31326966994849004,0.7541677239500686
GO:0050860,15,Down,0.31406412306966774,0.7546961192408627
GO:0006368,20,Up,0.3142898958111815,0.7546961192408627
GO:0033344,18,Down,0.31470910849172495,0.7547413098052183
GO:0090190,15,Down,0.31550617266313974,0.7554903246424789
GO:0038202,17,Up,0.316312111091861,0.7554903246424789
GO:0001824,13,Up,0.31658730955197284,0.7554903246424789
GO:0090102,21,Down,0.31703818681534995,0.7554903246424789
GO:0045860,28,Down,0.3176417989585383,0.7554903246424789
GO:0035235,14,Up,0.31792568533301363,0.7554903246424789
GO:0050731,58,Down,0.3185130642027563,0.7554903246424789
GO:0016055,98,Down,0.3185346553724499,0.7554903246424789
GO:0010288,14,Up,0.3188099596015763,0.7554903246424789
GO:0007249,29,Up,0.31908677820113296,0.7554903246424789
GO:0033198,10,Down,0.31978284031690796,0.7554903246424789
GO:0045582,26,Up,0.3204203631478699,0.7554903246424789
GO:0060627,11,Down,0.32047410079604527,0.7554903246424789
GO:1901800,11,Up,0.32082100686090864,0.7554903246424789
GO:0032968,40,Up,0.32103328914515944,0.7554903246424789
GO:0048872,15,Down,0.3218304960560344,0.755562217525099
GO:0030334,57,Down,0.32186549637806605,0.755562217525099
GO:0034198,34,Down,0.3234617351950082,0.7583648891076995
GO:2000648,20,Up,0.3263850016563081,0.7642679852448954
GO:0022011,12,Up,0.32783984297477575,0.7660618255651088
GO:0045595,25,Up,0.32796515674001137,0.7660618255651088
GO:0048589,16,Up,0.32912420390756736,0.7660618255651088
GO:0010765,14,Down,0.32971628425241895,0.7660618255651088
GO:0034976,63,Down,0.32984055981871985,0.7660618255651088
GO:0140467,16,Up,0.3298467176690463,0.7660618255651088
GO:0006367,43,Up,0.3300761471115887,0.7660618255651088
GO:0019216,22,Down,0.33040226216680824,0.7660618255651088
GO:0034314,12,Down,0.33089561430447545,0.7662631854593811
GO:0031929,19,Up,0.3324147276092162,0.7673817791862538
GO:0032922,56,Up,0.33260683595225293,0.7673817791862538
GO:0034260,10,Up,0.332897599556225,0.7673817791862538
GO:1903898,10,Up,0.33334172037643106,0.7673817791862538
GO:0098696,13,Down,0.33369943599980156,0.7673817791862538
GO:0001756,29,Up,0.3341083491058683,0.7673817791862538
GO:0061053,10,Down,0.3342283505102994,0.7673817791862538
GO:0001890,22,Down,0.3347764900609883,0.7675374140138362
GO:0042554,11,Down,0.33511049959330885,0.7675374140138362
GO:0030101,12,Up,0.33707280270087214,0.7686958558476517
GO:0070213,10,Up,0.33718353716739713,0.7686958558476517
GO:0032729,45,Up,0.33729420691351053,0.7686958558476517
GO:0001974,28,Down,0.3377640024656915,0.7686958558476517
GO:0032465,26,Up,0.337885270886797,0.7686958558476517
GO:0007004,13,Up,0.3380630580889672,0.7686958558476517
GO:0062009,12,Down,0.3388406250688861,0.7695356364516268
GO:0098761,11,Up,0.34059902293420175,0.7704880205422144
GO:0043066,294,Down,0.3407089082702789,0.7704880205422144
GO:0061723,11,Down,0.34080820447131266,0.7704880205422144
GO:0046627,30,Up,0.3411512801982347,0.7704880205422144
GO:0006351,41,Up,0.34130371201737353,0.7704880205422144
GO:0060340,10,Down,0.3428763526601112,0.7731123501965426
GO:0019369,15,Down,0.3444174051124531,0.7754823120060728
GO:0032868,49,Down,0.3447502267698085,0.7754823120060728
GO:0006979,84,Down,0.3460447482805009,0.7774664487589323
GO:0007420,102,Up,0.34652814676738597,0.7776256626863364
GO:0007213,12,Down,0.34723949800273535,0.778295426557855
GO:0001523,18,Down,0.34808421446533266,0.7792621665880666
GO:0032570,28,Down,0.3505483578792604,0.7800417575337487
GO:0032088,42,Up,0.3512031649652453,0.7800417575337487
GO:0048738,14,Down,0.352663674713547,0.7800417575337487
GO:0048557,12,Up,0.35314435909187336,0.7800417575337487
GO:0002076,14,Up,0.35343248095686053,0.7800417575337487
GO:0007040,24,Up,0.35346011483704276,0.7800417575337487
GO:0008542,31,Down,0.35376939307050526,0.7800417575337487
GO:0034599,74,Up,0.35388180742173214,0.7800417575337487
GO:0048821,10,Up,0.35414796615818256,0.7800417575337487
GO:0050776,15,Down,0.35416280440338443,0.7800417575337487
GO:1902430,12,Down,0.3542287727043213,0.7800417575337487
GO:0001656,24,Down,0.3545051238371004,0.7800417575337487
GO:0006096,29,Down,0.3545818797359873,0.7800417575337487
GO:0006754,13,Down,0.35487761336982815,0.7800417575337487
GO:0032930,13,Down,0.3555757437266902,0.7800417575337487
GO:0050773,11,Up,0.3556835905540333,0.7800417575337487
GO:0044849,12,Up,0.35652337011492774,0.7800417575337487
GO:0060216,13,Down,0.3567864476705479,0.7800417575337487
GO:0030970,12,Down,0.3569843037231144,0.7800417575337487
GO:0048388,10,Down,0.3572103984852649,0.7800417575337487
GO:0042733,42,Down,0.3573856533549523,0.7800417575337487
GO:0007259,41,Down,0.35753896630610726,0.7800417575337487
GO:0061844,41,Up,0.3581385458051438,0.7800417575337487
GO:0035729,11,Up,0.3583640116839397,0.7800417575337487
GO:0097746,17,Down,0.35883666424718275,0.7801696794762855
GO:0003376,10,Down,0.3608529396906557,0.7824367955593212
GO:0045664,21,Down,0.3614182558517284,0.7824367955593212
GO:0001975,26,Down,0.36177994027425053,0.7824367955593212
GO:2000767,13,Up,0.3619367124576167,0.7824367955593212
GO:0010842,11,Down,0.36195484653990884,0.7824367955593212
GO:0045945,16,Up,0.3630884053158828,0.7839881374804571
GO:0001892,17,Down,0.36405351897921756,0.7847970476627376
GO:0032736,12,Down,0.36429571177978537,0.7847970476627376
GO:0043330,14,Up,0.36546026339433035,0.7864070736282108
GO:0009409,19,Down,0.36590186186934925,0.7864595320680996
GO:0060261,55,Up,0.3669077010259546,0.7877232533415995
GO:0030031,12,Down,0.36935284782916167,0.7920706691216948
GO:0097191,45,Down,0.36982084844942287,0.7921730674172297
GO:1904753,11,Down,0.3705383573755252,0.7928090847365096
GO:0010165,16,Up,0.3713998581092308,0.7937513974329933
GO:0007517,55,Down,0.37226080960671115,0.7938413507611392
GO:0072520,12,Up,0.3723752879118384,0.7938413507611392
GO:0051281,21,Down,0.3727053556623916,0.7938413507611392
GO:2000060,15,Down,0.37328678818798433,0.7941823879620208
GO:0016192,83,Down,0.374931862511523,0.79678304490893
GO:0032695,10,Up,0.37628383626950823,0.7987556659549808
GO:0002230,22,Down,0.37687408553425983,0.7991087190462091
GO:0051259,16,Down,0.3781133305796107,0.8002329933315826
GO:0048712,10,Down,0.378253367139756,0.8002329933315826
GO:0006488,18,Up,0.37983095298243963,0.8013008425343936
GO:0033138,37,Up,0.3798529923658629,0.8013008425343936
GO:0032496,94,Up,0.3800333969367363,0.8013008425343936
GO:0036211,53,Up,0.3808929211343438,0.8022158171376962
GO:0099505,19,Up,0.3824861667139523,0.8022218273467809
GO:0035234,11,Up,0.38258170845449946,0.8022218273467809
GO:0030326,25,Down,0.3826995230530372,0.8022218273467809
GO:0007338,29,Down,0.38270947130605204,0.8022218273467809
GO:0035264,63,Up,0.3837042448255473,0.8022218273467809
GO:0071711,12,Down,0.38408994833627774,0.8022218273467809
GO:0042475,47,Down,0.38412549514103944,0.8022218273467809
GO:0031100,29,Down,0.38430042975816614,0.8022218273467809
GO:0001525,167,Down,0.3857626679956303,0.8043834393492955
GO:0046685,11,Up,0.38692660356704,0.8057329199339045
GO:0032880,50,Up,0.38728178987564543,0.8057329199339045
GO:0051560,10,Up,0.38769217951196366,0.8057329199339045
GO:0010634,29,Down,0.38820918703227747,0.8059188519337478
GO:0007626,44,Down,0.3887290529466434,0.8061103023150966
GO:0030833,18,Up,0.38965973864196146,0.8063224081282182
GO:0008361,19,Up,0.3896868508248311,0.8063224081282182
GO:0030217,33,Up,0.39068809611749133,0.8070570438836766
GO:0036342,14,Up,0.39090036576188003,0.8070570438836766
GO:0010608,13,Up,0.3913263332146846,0.8070570438836766
GO:0010631,13,Down,0.3920771703353272,0.807721820854745
GO:0045953,11,Down,0.3930533222370931,0.8084154738131186
GO:0099173,11,Down,0.3935683732907359,0.8084154738131186
GO:0045184,21,Down,0.3937004800851156,0.8084154738131186
GO:0051893,19,Up,0.39575953901374217,0.8111340425748336
GO:0006383,18,Up,0.39588504995694795,0.8111340425748336
GO:1902459,29,Up,0.3967634026892648,0.8120510467635875
GO:0015813,12,Down,0.3977036007511451,0.8125820574157147
GO:0010498,12,Down,0.3978850074242465,0.8125820574157147
GO:0003184,16,Down,0.4007005767100844,0.8167984855745698
