ID,Description,NES,pval,padj,size,leadingEdge
WP4760,PKC gamma calcium signaling in ataxia,-0.8814076275217553,0.588477366255144,0.8411904287800345,17,RYR3;GNA14;GNAQ;PDK1;PLCB4;TRPC3;PLCB2
WP4838,Regucalcin in proximal tubule epithelial kidney cells,0.9033088949576985,0.5931174089068826,0.8461171889637419,26,CASP3;ACTA2;TGFBR1;G3BP1
WP5200,Dravet syndrome,-0.9139900798764178,0.5955284552845529,0.8478507526039116,28,PCDH19;PRR5L;CAMK2A;PIK3CA;SCN8A;SCN3B;CALM1
WP5412,8q11 23 RB1CC1 copy number variation,-0.8861746617600667,0.600418410041841,0.853099504448227,15,RB1;PTK2B;RB1CC1;MAP3K5;ATG16L1;GABARAPL1;GABARAPL2
WP2332,IL11 signaling,0.9022270713507401,0.6064030131826742,0.859879472693032,42,BIRC5;ICAM1;RUNX2;HRAS;JAK2;RELA;SOCS3;PIK3R2;AKT1;FYN;BCL2;TYK2;PTPA;MAP2K2
WP2328,Allograft rejection,-0.9174924864142777,0.6107660455486542,0.8610714743795291,44,CASP9;VEGFA;C3;STAT1;CD55;C6;PRKCZ;PDGFRA;TGFB1;CXCL12;AGTR1
WP5049,Glycolysis in senescence,0.9009166858704818,0.6092184368737475,0.8610714743795291,11,TP53;G6PD;ENO1
WP4537,Hippo YAP signaling,-0.8955129413253985,0.6108870967741935,0.8610714743795291,21,STK38L;NDRG1;STK3;YAP1;LATS1;MAP4K3;TEAD1;WWTR1
WP1433,Nucleotide binding oligomerization domain NOD pathway,0.8970610189996132,0.6124763705103969,0.8615987037537132,32,NFKBIA;DUOX2;COPS6;CARD6;CASP1;RELA
WP117,GPCRs other,0.9096649843895521,0.6148148148148148,0.8629084647595193,52,GPR176;GPR18;CNR1;CELSR1;ADGRL3;SMO;GPR162;ADGRE3;ADGRV1;NTSR1;HTR1F
WP5523,HINT1 pathway,0.8932315439218894,0.6158415841584158,0.8629084647595193,25,CTNNB1;RUVBL1;ERCC2;NFKB1;RUVBL2
WP5502,16p13 11 copy number variation syndrome,0.8809459251678636,0.621832358674464,0.8678723273625885,29,PLK1;PLAGL1;BMERB1;CEP20;MPV17L;ABCC1;DCP2;CEP170
WP3676,BDNF TrkB signaling,0.8809423732698805,0.621832358674464,0.8678723273625885,29,NTRK2;EIF4EBP1;PLCG1;HRAS;NRAS;AKT1;RHEB
